pathogen,pathogenID,eid2UpdatedVirusID,host,hostID,order,fromSequence,fromPublication,strongest evidence type,strongest evidence,included
acerodon celebensis polyomavirus 1,26205236,29395190,acerodon celebensis,3491718,chiroptera,1,0,sequence (EID2),isolation,1
acerodon celebensis polyomavirus 2,26205240,29395192,acerodon celebensis,3491718,chiroptera,1,0,sequence (EID2),isolation,1
achimota pararubulavirus 1,27250094,29395048,eidolon helvum,3524418,chiroptera,1,0,sequence (EID2),isolation,1
achimota pararubulavirus 2,27250096,29395050,eidolon helvum,3524418,chiroptera,1,0,sequence (EID2),isolation,1
adelaide river ephemerovirus,3446981,29395052,bos indicus,3434103,ruminantia,1,4,sequence (EID2),isolation,1
adelaide river ephemerovirus,3446981,29395052,bos taurus,3434101,ruminantia,1,4,sequence (EID2),isolation,1
adelaide river ephemerovirus,3446981,29395052,bubalus bubalis,3546118,ruminantia,1,1,sequence (EID2),isolation,1
adelaide river ephemerovirus,3446981,29395052,bubalus carabanensis,3799968,ruminantia,1,1,sequence (EID2),isolation,1
adelaide river ephemerovirus,3446981,29395052,bubalus depressicornis,3441023,ruminantia,0,1,antibodies,serelogy,1
adelaide river ephemerovirus,3446981,29395052,syncerus caffer,3434174,ruminantia,1,1,sequence (EID2),isolation,1
adeno-associated dependoparvovirus a,26552295,26552295,capra hircus,3434115,ruminantia,0,1,isolation,isolation,1
adeno-associated dependoparvovirus a,26552295,26552295,homo sapiens,3433574,primates,1,0,sequence (EID2),isolation,1
adeno-associated dependoparvovirus a,26552295,26552295,macaca mulatta,3433483,primates,0,1,PCR,PCR,1
adeno-associated dependoparvovirus b,26552297,26552297,bos taurus,3434101,ruminantia,1,1,sequence (EID2),isolation,1
adeno-associated dependoparvovirus b,26552297,26552297,capra hircus,3434115,ruminantia,1,0,sequence (EID2),isolation,1
adeno-associated dependoparvovirus b,26552297,26552297,homo sapiens,3433574,primates,0,1,Isolation,isolation,1
adeno-associated virus,3736135,3736135,capra hircus,3434115,ruminantia,0,1,PCR,PCR,1
adeno-associated virus,3736135,3736135,homo sapiens,3433574,primates,1,547,sequence (EID2),isolation,1
adeno-associated virus,3736135,3736135,macaca mulatta,3433483,primates,0,1,PCR,PCR,1
adeno-associated virus,3736135,3736135,sus scrofa,3433956,suina,1,48,sequence (EID2),isolation,1
adler hantavirus,26302996,26302996,microtus majori,3733465,rodentia,1,1,sequence (EID2),isolation,1
african elephant endotheliolytic herpesvirus,3549764,3549764,loxodonta africana,3433889,proboscidea,0,1,isolation,isolation,1
african elephant endotheliolytic herpesvirus,3549764,3549764,loxodonta cyclotis,3564065,proboscidea,0,1,isolation,isolation,1
african green monkey polyomavirus,3437738,3437738,chlorocebus aethiops,3433463,primates,0,1,Isolation,isolation,1
african green monkey polyomavirus,3437738,3437738,chlorocebus cynosuros,3903022,primates,0,1,Isolation,isolation,1
african green monkey polyomavirus,3437738,3437738,chlorocebus djamdjamensis,25934055,primates,0,1,Isolation,isolation,1
african green monkey polyomavirus,3437738,3437738,chlorocebus pygerythrus,3496402,primates,0,1,Isolation,isolation,1
african green monkey polyomavirus,3437738,3437738,chlorocebus sabaeus,3496404,primates,0,1,Isolation,isolation,1
african green monkey polyomavirus,3437738,3437738,chlorocebus tantalus,3496406,primates,0,1,Isolation,isolation,1
african green monkey simian foamy virus,3792643,3792643,chlorocebus aethiops,3433463,primates,1,2,sequence (EID2),isolation,1
african horse sickness virus,3460146,3460146,canis lupus familiaris,3433584,carnivora,0,1,PCR,PCR,1
african horse sickness virus,3460146,3460146,ceratotherium simum,3433928,perissodactyla,0,1,antibodies; ELISA,serelogy,1
african horse sickness virus,3460146,3460146,diceros bicornis,3433924,perissodactyla,0,1,antibodies; ELISA,serelogy,1
african horse sickness virus,3460146,3460146,equus asinus,3433905,perissodactyla,0,1,PCR,PCR,1
african horse sickness virus,3460146,3460146,equus asinus x caballus,24320964,perissodactyla,0,1,isolation,isolation,1
african horse sickness virus,3460146,3460146,equus burchellii,3433899,perissodactyla,0,1,antibodies; subclinical; viremia,serelogy,1
african horse sickness virus,3460146,3460146,equus caballus,3433909,perissodactyla,1,96,sequence (EID2),isolation,1
african horse sickness virus,3460146,3460146,equus zebra,3433901,perissodactyla,0,1,PCR,PCR,1
african swine fever virus,3435001,3435001,hylochoerus meinertzhageni,24324561,suina,0,1,isolation,isolation,1
african swine fever virus,3435001,3435001,phacochoerus aethiopicus,3539195,suina,1,3,sequence (EID2),isolation,1
african swine fever virus,3435001,3435001,phacochoerus africanus,3462605,suina,1,28,sequence (EID2),isolation,1
african swine fever virus,3435001,3435001,potamochoerus larvatus,3737206,suina,1,8,sequence (EID2),isolation,1
african swine fever virus,3435001,3435001,potamochoerus porcus,3737205,suina,0,1,PCR,PCR,1
african swine fever virus,3435001,3435001,sus scrofa,3433956,suina,1,1048,sequence (EID2),isolation,1
aichivirus a,3515363,3515363,canis adustus,3509500,carnivora,1,0,sequence (EID2),isolation,1
aichivirus a,3515363,3515363,canis aureus,3509501,carnivora,1,0,sequence (EID2),isolation,1
aichivirus a,3515363,3515363,canis lupus familiaris,3433584,carnivora,1,0,sequence (EID2),isolation,1
aichivirus a,3515363,3515363,crocuta crocuta,3433694,carnivora,1,0,sequence (EID2),isolation,1
aichivirus a,3515363,3515363,felis catus,3433706,carnivora,1,0,sequence (EID2),isolation,1
aichivirus a,3515363,3515363,homo sapiens,3433574,primates,1,4,sequence (EID2),isolation,1
aichivirus b,3665716,3665716,bos taurus,3434101,ruminantia,1,4,sequence (EID2),isolation,1
aichivirus b,3665716,3665716,capra hircus,3434115,ruminantia,1,0,sequence (EID2),isolation,1
aichivirus c,26310400,26310400,sus scrofa,3433956,suina,1,6,sequence (EID2),isolation,1
aichivirus d,27724797,27724797,bos taurus,3434101,ruminantia,1,0,sequence (EID2),isolation,1
aichivirus d,27724797,27724797,capra hircus,3434115,ruminantia,1,0,sequence (EID2),isolation,1
aichivirus e,27190776,29395458,oryctolagus cuniculus,3434201,lagomorpha,1,0,sequence (EID2),isolation,1
aichivirus f,26205228,29360042,miniopterus fuliginosus,3658570,chiroptera,1,0,sequence (EID2),isolation,1
