hostid,host,horder,hfamily,longevity,bodyMass,bodyLength,litterpy,littersize,weaning,gestation,smaturity,georange,nocturnal,diurnal,migratory,status,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,diet_entropy,forest,savanna,shrubland,grassland,wetlands,rocky,desert,cave_subterranean,marine_neritic,marine_oceanic,marine_intertidal,marine_coastal,artifical,habitat_breadth,samplingEffort,evol_dist_fp,evol_dist_es,temp_min,temp_max,temp_avg,rain_min,rain_max,rain_avg,pop,snowice,barren,shrubs,urban,trees_evergreen,trees_deciduous,trees_needle,trees_other,veg_herbal,veg_managed,veg_flooded,crop,pasture,mamdiv,land_cover_entropy,urban_agri_entropy
3433010,tachyglossus aculeatus,monotremata,tachyglossidae,600.0,4499.97,375.0,0.58,1.0,200.0,22.0,556.85,7766679.886,1,1,0,wild,100,0,0,0,0,0,0,0,0,0,0.0,1,1,1,1,0,0,1,0,0,0,0,0,0,5,720,166.2,166.2,13.3475,29.4972,22.2306541666667,7.424595,66.26645,30.954162125,14990255.872309,0.0,20.42013889,40.34659722,0.003194444,0.0,0.122430556,0.0,4.152361111,6.489166667,0.192986111,0.000694444,0.0,0.281135,28.0,1.11227945960166,0.72132942567861
3433020,didelphis marsupialis,didelphimorphia,didelphidae,84.0,1134.75,402.7,2.0,6.2,94.0,12.0,200.88,9324399.945,1,0,0,wild,20,0,0,0,30,30,0,0,0,20,1.3661588475692,1,0,1,0,0,0,0,0,0,0,0,0,1,3,418,28.44067241,22.503125,25.1714,27.044,26.1633916666667,45.7028,318.8,179.868291666667,157802634.52376,0.0,0.027222222,0.154375,0.011041667,85.99881944,0.057291667,0.002986111,1.542013889,0.437222222,3.518819444,0.448819444,0.006443,0.037709,180.0,0.332577324102634,0.432043471012436
3433026,philander opossum,didelphimorphia,didelphidae,52.9,425.81,265.6,3.0,4.6,82.0,71.5,220.25,5893332.054,1,1,0,wild,30,30,20,0,10,0,10,0,0,0,1.50478828368119,1,0,1,0,0,0,0,0,0,0,0,0,1,3,169,28.94067241,35.90625,25.148,27.2762,26.236575,44.1808,310.322,172.099791666667,85710721.534126,0.0,0.025069444,0.171111111,0.013888889,86.78631944,0.052361111,0.002222222,1.370555556,0.344861111,3.552708333,0.487430556,0.006623,0.033827,178.0,0.32171476920298,0.445816307079132
3433081,sarcophilus harrisii,dasyuromorphia,dasyuridae,156.7,8202.25,557.86,1.0,3.0,243.0,26.0,777.31,64284.13469,1,0,0,wild,0,0,0,0,0,100,0,0,0,0,0.0,1,0,1,1,0,0,0,1,0,0,0,0,1,5,138393,27.90634652,24.059375,6.11018,14.7624,10.3650691666667,45.97055,129.7575,89.0316208333333,611364.160384,0.0,0.007222222,1.959583333,0.312083333,52.64826389,6.854652778,0.377430556,4.805555556,3.425833333,7.328541667,0.18375,0.008363,0.157158,34.0,1.17907589397106,0.377121049840476
3433091,macropus agilis,diprotodontia,macropodidae,202.8,11815.75,646.01,1.8,1.01,214.0,29.0,404.77,1325767.608,1,1,0,wild,0,0,0,0,0,0,0,0,0,100,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,75,14.20326372,9.111981201,21.4685,30.5609,26.9370166666667,1.24375,250.319,79.466793,449715.268326,0.0,0.803194444,35.644375,0.00875,0.485694444,0.973541667,0.0,32.95090278,2.752777778,0.583611111,0.008402778,1.8e-05,0.021418,47.0,1.01621995308198,0.294432460715847
3433097,macropus fuliginosus,diprotodontia,macropodidae,278.5,25564.7,1585.5,1.0,1.0,540.0,30.0,708.84,1607057.795,1,1,0,wild,0,0,0,0,0,0,0,0,0,100,0.0,1,1,1,1,0,0,0,0,0,0,0,0,1,5,207,10.43326372,5.336981201,11.1295,25.575,18.3712916666667,14.96075,36.05315,26.2209916666666,6312302.545204,0.0,10.07097222,45.82236111,0.055277778,0.020555556,0.568541667,0.0,6.810486111,4.240347222,6.593402778,0.002152778,0.014838,0.48418,25.0,1.24482481847786,0.309897059725891
3433099,macropus giganteus,diprotodontia,macropodidae,300.0,33409.89,876.16,1.0,1.0,319.0,36.0,704.86,2231237.855,1,1,0,wild,0,0,0,0,0,0,0,0,0,100,0.0,1,1,1,1,0,0,0,0,0,0,0,0,1,5,399,10.43326372,5.336981201,11.7925,27.0214,20.138,21.452,79.4135,46.7203,5503991.261118,0.0,1.679305556,28.98958333,0.059513889,0.335972222,1.375555556,0.0,11.77305556,4.622152778,3.249027778,0.018125,0.0155,0.629637,38.0,1.35141933920648,0.56547534671751
3433101,macropus parryi,diprotodontia,macropodidae,168.0,12629.83,2133.6,1.29,1.0,365.0,36.0,763.62,362773.5425,1,1,0,wild,0,0,0,0,0,0,0,0,0,100,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,14,14.25326372,9.323962402,14.4718,26.4903,21.0237416666667,26.5492,124.843,64.4014916666667,68349.967086,0.0,0.16125,16.15576389,0.188611111,8.155347222,3.923680556,0.0,49.45583333,4.155277778,1.739027778,0.054513889,0.03105,0.59197,63.0,1.29367430871654,0.93030068072518
3433103,macropus robustus,diprotodontia,macropodidae,288.0,25978.92,1200.0,1.31,1.0,351.0,32.0,714.3,6349650.736,1,1,0,wild,0,0,0,0,0,0,0,0,0,100,0.0,1,1,1,1,0,0,0,0,0,0,0,0,1,5,312,9.633263717,4.536981201,14.0712,30.0339,22.765575,5.93992,70.049,30.4926275833333,4243019.934638,0.0,23.79857639,42.913958335,0.001875,0.0,0.071215278,0.0,4.433229167,8.4097916665,0.140625,0.0,0.0,0.381871,28.0,1.13479463216705,0.604033312975273
3433107,macropus rufus,diprotodontia,macropodidae,360.0,38968.39,925.0,1.36,1.0,360.0,33.0,695.03,5360863.418,1,1,0,wild,0,0,0,0,0,0,0,0,0,100,0.0,0,1,1,1,0,0,1,0,0,0,0,0,1,5,293,9.633263717,4.536981201,13.454,30.3426,22.6281791666667,5.751615,50.65955,24.7344508333333,3563938.810656,0.0,33.347743055,45.83597222,0.0,0.0,0.0060763885,0.0,2.211493056,9.3177083335,0.045833333,0.0,0.0,0.399297,26.5,1.06515794716353,0.331551701312366
3433117,thylogale billardierii,diprotodontia,macropodidae,120.0,5865.86,1250.0,1.0,1.0,202.0,29.0,418.85,66448.23681,1,1,0,wild,0,0,0,0,0,0,0,0,0,100,0.0,1,0,1,1,0,0,0,0,0,0,0,0,1,4,154,12.57528392,10.58339844,6.11018,14.7624,10.3650691666667,45.97055,129.7575,89.0316208333333,611364.160384,0.0,0.007222222,1.959583333,0.312083333,52.64826389,6.854652778,0.377430556,4.805555556,3.425833333,7.328541667,0.18375,0.008363,0.157158,34.0,1.17907589397106,0.377121049840476
3433123,wallabia bicolor,diprotodontia,macropodidae,201.6,14999.95,746.25,1.4,1.04,256.0,36.0,490.72,1212921.515,1,0,0,wild,0,0,0,0,0,0,0,0,0,100,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,163,14.51104149,10.19584961,11.0165,25.1548,18.6821625,30.3336,95.673,58.9579,5237945.525937,0.0,0.080694444,11.56895833,0.387222222,8.155347222,2.554236111,0.0,19.90520833,4.177083333,7.618194444,0.032847222,0.034574,0.347999,49.0,1.67817542069001,0.40810133090346
