pathogenid,ncbi.name,rna,rt,double_stranded,negative_sense,positive_sense,enveloped,circular,segmented,cytoplasm,size_KB,GC,max_bread,max_bread_nh,direct,direct_sexual,direct_vertical,indirect,fecal_oral,ingestion,inhalation,environment,vector,release_budding,release_lysis,release_other,CE_clathrin,CE_receptor,ce_glycoprotiens,ce_other,samplingEffort
1195280,miniopterus schreibersii astrovirus 1,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195281,miniopterus schreibersii astrovirus 10,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195282,miniopterus schreibersii astrovirus 11,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195283,miniopterus schreibersii astrovirus 12,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195284,miniopterus schreibersii astrovirus 13,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195285,miniopterus schreibersii astrovirus 2,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195286,miniopterus schreibersii astrovirus 3,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195287,miniopterus schreibersii astrovirus 4,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195288,miniopterus schreibersii astrovirus 5,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195289,miniopterus schreibersii astrovirus 6,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195290,miniopterus schreibersii astrovirus 7,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195291,miniopterus schreibersii astrovirus 8,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195292,miniopterus schreibersii astrovirus 9,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195368,myotis ricketti astrovirus 1,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195369,rhinolophus sinicus astrovirus 1,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1195375,tylonycteris robustula astrovirus 1,1,0,0,0,1,0.0,0,0,1.0,6.001923077,48.4015,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1204570,otarine adenovirus 2,0,0,1,0,0,0.0,0,0,0.0,31.79484856,51.2016,0.0,0.0,1,0,0.0,0,0,1,1,1,0,0,1,0,0,0,1,0,1
1239572,mamastrovirus 8,1,0,0,0,1,0.0,0,0,1.0,6.534,43.5,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,178
1239578,mamastrovirus 14,1,0,0,0,1,0.0,0,0,1.0,3.371,45.2,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,60
1239580,mamastrovirus 16,1,0,0,0,1,0.0,0,0,1.0,3.18,44.8,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,51
1239582,mamastrovirus 18,1,0,0,0,1,0.0,0,0,1.0,5.083,43.6,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,46
1245560,wuharv calicivirus 1,1,0,0,0,1,0.0,0,0,1.0,7.632577778,51.1,0.0,0.0,1,0,0.0,0,1,1,0,0,0,0,1,0,0,1,0,0,2
1455626,human cyclovirus,0,0,0,0,1,0.0,1,0,0.0,1.8111,44.433,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,30
1455627,tadarida brasiliensis cyclovirus,0,0,0,0,1,0.0,1,0,0.0,1.8111,44.433,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
1455628,sus scrofa cyclovirus,0,0,0,0,1,0.0,1,0,0.0,1.8111,44.433,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,2
1455631,capra hircus cyclovirus,0,0,0,0,1,0.0,1,0,0.0,1.8111,44.433,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,2
1606765,bovine rhinovirus 1,1,0,0,0,1,0.0,0,0,1.0,7.253,50.1,0.0,0.0,1,0,0.0,1,0,1,1,1,0,0,1,0,1,0,0,0,2
1743398,hare calicivirus,1,0,0,0,1,0.0,0,0,1.0,7.4395,49.75,0.0,0.0,1,0,0.0,0,1,1,0,1,0,0,1,0,0,1,0,0,13
1861840,feline anellovirus,0,0,0,0,1,0.0,1,0,0.0,2.734,45.48115,0.0,0.0,0,1,0.0,1,1,1,0,0,0,0,1,0,0,1,0,0,2
1868218,bat associated circovirus 1,0,0,0,0,1,0.0,1,0,0.0,1.862,46.2,0.0,0.0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,3
1868219,bat associated circovirus 2,0,0,0,0,1,0.0,1,0,0.0,1.798,47.3,0.0,0.0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,4
1868220,bat associated circovirus 3,0,0,0,0,1,0.0,1,0,0.0,1.76,46.1,0.0,0.0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,5
1868221,porcine circovirus 3,0,0,0,0,1,0.0,1,0,0.0,2.0,50.3,0.0,0.0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,878
1914442,rodent astrovirus,1,0,0,0,1,0.0,0,0,1.0,6.861,50.7,87.4,87.4,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,66
1916691,cercopithecus campbelli adenovirus,0,0,1,0,0,0.0,0,0,0.0,35.28473333,53.1664,0.0,0.0,1,0,0.0,0,1,1,1,0,0,0,1,0,0,0,1,0,3
1916692,cercopithecus diana adenovirus,0,0,1,0,0,0.0,0,0,0.0,35.28473333,53.1664,0.0,0.0,1,0,0.0,0,1,1,1,0,0,0,1,0,0,0,1,0,2
1916693,chlorocebus sabaeus adenovirus,0,0,1,0,0,0.0,0,0,0.0,35.28473333,53.1664,0.0,0.0,1,0,0.0,0,1,1,1,0,0,0,1,0,0,0,1,0,422
1916694,colobus guereza adenovirus,0,0,1,0,0,0.0,0,0,0.0,35.28473333,53.1664,0.0,0.0,1,0,0.0,0,1,1,1,0,0,0,1,0,0,0,1,0,2
1916695,erythrocebus patas adenovirus,0,0,1,0,0,0.0,0,0,0.0,35.28473333,53.1664,0.0,0.0,1,0,0.0,0,1,1,1,0,0,0,1,0,0,0,1,0,2
1916696,gorilla gorilla adenovirus,0,0,1,0,0,0.0,0,0,0.0,35.28473333,53.1664,0.0,0.0,1,0,0.0,0,1,1,1,0,0,0,1,0,0,0,1,0,3
1916697,lophocebus aterrimus adenovirus,0,0,1,0,0,0.0,0,0,0.0,35.28473333,53.1664,0.0,0.0,1,0,0.0,0,1,1,1,0,0,0,1,0,0,0,1,0,1
1916698,mandrillus sphinx adenovirus,0,0,1,0,0,0.0,0,0,0.0,35.28473333,53.1664,0.0,0.0,1,0,0.0,0,1,1,1,0,0,0,1,0,0,0,1,0,1
1916699,pan troglodytes adenovirus,0,0,1,0,0,0.0,0,0,0.0,35.28473333,53.1664,0.0,0.0,1,0,0.0,0,1,1,1,0,0,0,1,0,0,0,1,0,183
1916700,papio hamadryas adenovirus,0,0,1,0,0,0.0,0,0,0.0,35.28473333,53.1664,0.0,0.0,1,0,0.0,0,1,1,1,0,0,0,1,0,0,0,1,0,3
1958807,harbour porpoise adenovirus 1,0,0,1,0,0,0.0,0,0,0.0,22.836,41.0,0.0,0.0,1,0,0.0,0,0,1,1,1,0,0,1,0,0,0,1,0,2
1959759,chimpanzee associated circovirus 1,0,0,0,0,1,0.0,1,0,0.0,1.935,53.0,0.0,0.0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,5
1959761,human associated circovirus 1,0,0,0,0,1,0.0,1,0,0.0,1.699,43.4,0.0,0.0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,4
1959842,molossus molossus circovirus 1,0,0,0,0,1,0.0,1,0,0.0,1.587,45.1,0.0,0.0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,2
1959843,molossus molossus circovirus 2,0,0,0,0,1,0.0,1,0,0.0,3.156,36.0,0.0,0.0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,2
1959844,molossus molossus circovirus 3,0,0,0,0,1,0.0,1,0,0.0,2.055,41.7,0.0,0.0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,2
1959845,molossus molossus circovirus 4,0,0,0,0,1,0.0,1,0,0.0,1.805,36.1,0.0,0.0,0,0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,0,2
1959930,bat sapovirus,1,0,0,0,1,0.0,0,0,1.0,7.475,47.0,0.0,0.0,1,0,0.0,0,1,1,0,0,0,0,1,0,0,1,0,0,13
1961665,qinghai Himalayan marmot astrovirus 1,1,0,0,0,1,0.0,0,0,1.0,6.712,44.0,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,2
1961666,qinghai Himalayan marmot astrovirus 2,1,0,0,0,1,0.0,0,0,1.0,6.64,52.9,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,2
1967296,rousettus aegyptiacus adenovirus,0,0,1,0,0,0.0,0,0,0.0,29.342,36.4,0.0,0.0,1,0,0.0,0,0,1,1,1,0,0,1,0,0,0,1,0,2
1968861,torque teno sus virus k2a,0,0,0,0,1,0.0,1,0,0.0,2.735,45.3,0.0,0.0,0,1,0.0,1,1,1,0,0,0,0,1,0,0,1,0,0,30
1980525,keterah orthonairovirus,1,0,0,1,0,1.0,0,1,1.0,18.35969231,42.377,0.0,0.0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,8
1987731,bat associated cyclovirus 6,0,0,0,0,1,0.0,1,0,0.0,1.688,44.5,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,4
1987732,bat associated cyclovirus 7,0,0,0,0,1,0.0,1,0,0.0,2.379,40.7,0.0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,0,1,0,0,6
