,scientific name,alternative name,taxid,order,family,mass,trophic level,trophic niche,primary lifestyle,range size,habitat,habitat density,migration,evolutionary distinctiveness
0,Myiopsitta monachus,,176066,Psittaciformes,Psittacidae,120.0,Herbivore,Omnivore,Insessorial,2854802.75,Human Modified,2,1,111.1245949867388
1,Netta rufina,,30387,Anseriformes,Anatidae,1118.0,Herbivore,Herbivore aquatic,Aquatic,6127779.64,Wetland,3,2,111.12459498661728
2,Poicephalus gulielmi,,241588,Psittaciformes,Psittacidae,274.59,Herbivore,Omnivore,Insessorial,1483974.66,Forest,1,1,111.1245949871969
3,Quiscalus mexicanus,,64278,Passeriformes,Icteridae,160.47,Omnivore,Omnivore,Terrestrial,5121813.66,Human Modified,3,1,111.1245949869018
4,Buteo japonicus,Buteo buteo,224669,Accipitriformes,Accipitridae,759.1,Carnivore,Vertivore,Insessorial,16600070.45,Grassland,3,2,111.12459498753137
5,Diomedea sanfordi,,2811340,Procellariiformes,Diomedeidae,8905.61,Carnivore,Aquatic predator,Aquatic,65315175.79,,3,3,111.12459498716512
6,Gracula religiosa,,116992,Passeriformes,Sturnidae,192.0,Herbivore,Frugivore,Insessorial,4058797.99,Forest,1,1,111.12459498732282
7,Balearica pavonina,,30414,Gruiformes,Gruidae,3590.0,Omnivore,Omnivore,Terrestrial,2976931.85,Wetland,3,1,111.12459498763582
8,Anas melleri,,75852,Anseriformes,Anatidae,959.22,Herbivore,Herbivore aquatic,Aquatic,210448.78,Wetland,3,1,111.1245949865342
9,Ciconia ciconia,,8928,Ciconiiformes,Ciconiidae,3445.8,Carnivore,Omnivore,Terrestrial,5196114.0,Grassland,3,3,111.1245949870538
10,Psittacula eques,,1560315,Psittaciformes,Psittacidae,163.0,Herbivore,Frugivore,Insessorial,68.35,Forest,1,1,111.12459498663772
11,Turdus merula,,9187,Passeriformes,Turdidae,102.73,Omnivore,Omnivore,Generalist,13987854.76,Forest,2,1,111.12459498767404
12,Calidris fuscicollis,,279940,Charadriiformes,Scolopacidae,43.01,Carnivore,Aquatic predator,Terrestrial,1363375.36,Wetland,3,3,111.12459498638304
13,Falco vespertinus,,56351,Falconiformes,Falconidae,151.49,Carnivore,Invertivore,Aerial,9360235.41,Grassland,3,3,111.12459498638204
14,Geotrygon montana,,115651,Columbiformes,Columbidae,133.86,Herbivore,Omnivore,Terrestrial,13251114.74,Forest,1,1,111.12459498600178
15,Falco mexicanus,,279964,Falconiformes,Falconidae,713.07,Carnivore,Vertivore,Aerial,3975634.14,Grassland,3,3,111.12459498643224
16,Apus apus,,8895,Apodiformes,Apodidae,37.6,Carnivore,Invertivore,Aerial,24779919.71,Human Modified,1,3,111.12459498775976
17,Accipiter gentilis,,8957,Accipitriformes,Accipitridae,866.04,Carnivore,Vertivore,Generalist,31775270.74,Forest,1,2,111.12459498710872
18,Estrilda melpoda,,247542,Passeriformes,Estrildidae,7.6,Omnivore,Granivore,Generalist,3732329.06,Grassland,3,1,111.12459498678358
19,Bubo sumatranus,,748877,Strigiformes,Strigidae,1525.0,Carnivore,Vertivore,Insessorial,1415096.11,Forest,1,1,111.1245949878623
20,Picus canus,,301969,Piciformes,Picidae,137.0,Carnivore,Invertivore,Insessorial,17088062.07,Forest,1,1,111.12459498791718
21,Crax fasciolata,,84988,Galliformes,Cracidae,2600.0,Herbivore,Frugivore,Terrestrial,3699369.16,Forest,1,1,111.1245949870952
22,Ara glaucogularis,,303304,Psittaciformes,Psittacidae,783.99,Herbivore,Frugivore,Insessorial,27792.35,Forest,2,1,111.124594987004
23,Ardeola grayii,,1158920,Pelecaniformes,Ardeidae,253.0,Carnivore,Aquatic predator,Terrestrial,3285673.01,Wetland,3,2,111.12459498750331
24,Turdus pallidus,,36282,Passeriformes,Turdidae,72.1,Omnivore,Invertivore,Generalist,1057257.08,Forest,1,3,111.12459498768592
25,Falco fasciinucha,,453957,Falconiformes,Falconidae,254.69,Carnivore,Vertivore,Aerial,501059.82,Rock,3,1,111.1245949864454
26,Cacatua alba,,141836,Psittaciformes,Cacatuidae,570.0,Herbivore,Omnivore,Insessorial,20920.49,Forest,1,1,111.12459498718395
27,Thryothorus ludovicianus,,74200,Passeriformes,Certhiidae,18.96,Carnivore,Invertivore,Insessorial,3217727.29,Woodland,2,1,111.12459498708412
28,Limosa limosa,,161680,Charadriiformes,Scolopacidae,288.37,Carnivore,Aquatic predator,Terrestrial,10058061.19,Wetland,3,3,111.1245949865532
29,Phasianus colchicus,,9054,Galliformes,Phasianidae,1120.31,Herbivore,Omnivore,Terrestrial,7426719.32,Human Modified,2,1,111.124594986421
30,Emberiza citrinella,,37595,Passeriformes,Fringillidae,29.7,Herbivore,Granivore,Terrestrial,12899942.03,Shrubland,3,2,111.12459498708697
31,Dryobates minor,Dendrocopos minor,1517834,Piciformes,Picidae,19.8,Carnivore,Invertivore,Insessorial,18548908.46,Forest,1,1,111.12459498699609
32,Chlamydera cerviniventris,,34933,Passeriformes,Ptilonorhynchidae,156.4,Omnivore,Omnivore,Insessorial,152782.31,Shrubland,2,1,111.1245949874793
33,Pterodroma cookii,,53668,Procellariiformes,Procellariidae,177.91,Carnivore,Aquatic predator,Aerial,120250835.9,Marine,3,2,111.12459498682044
34,Pionus menstruus reichenowi,Pionus menstruus,458129,Psittaciformes,Psittacidae,251.0,Herbivore,Omnivore,Insessorial,8509155.91,Forest,2,1,111.1245949867887
