,taxid,order,family,mass,trophic level,trophic niche,primary lifestyle,range size,habitat,habitat density,migration,evolutionary distinctiveness
0,176066,22.0,78.0,120.0,1.0,7.0,3.0,2854802.75,4.0,2,1,111.1245949867388
1,30387,1.0,6.0,1118.0,1.0,3.0,1.0,6127779.64,9.0,3,2,111.12459498661728
2,241588,22.0,78.0,274.59,1.0,7.0,3.0,1483974.66,2.0,1,1,111.1245949871969
3,64278,16.0,43.0,160.47,2.0,7.0,4.0,5121813.66,4.0,3,1,111.1245949869018
4,224669,0.0,1.0,759.1,0.0,9.0,3.0,16600070.45,3.0,3,2,111.12459498753137
5,2811340,21.0,31.0,8905.61,0.0,0.0,1.0,65315175.79,,3,3,111.12459498716512
6,116992,16.0,94.0,192.0,1.0,1.0,3.0,4058797.99,2.0,1,1,111.12459498732282
7,30414,14.0,40.0,3590.0,2.0,7.0,4.0,2976931.85,9.0,3,1,111.12459498763582
8,75852,1.0,6.0,959.22,1.0,3.0,1.0,210448.78,9.0,3,1,111.1245949865342
9,8928,7.0,21.0,3445.8,0.0,7.0,4.0,5196114.0,3.0,3,3,111.1245949870538
10,1560315,22.0,78.0,163.0,1.0,1.0,3.0,68.35,2.0,1,1,111.12459498663772
11,9187,16.0,102.0,102.73,2.0,7.0,2.0,13987854.76,2.0,2,1,111.12459498767404
12,279940,6.0,88.0,43.01,0.0,0.0,4.0,1363375.36,9.0,3,3,111.12459498638304
13,56351,11.0,34.0,151.49,0.0,5.0,0.0,9360235.41,3.0,3,3,111.12459498638204
14,115651,8.0,23.0,133.86,1.0,7.0,4.0,13251114.74,2.0,1,1,111.12459498600178
15,279964,11.0,34.0,713.07,0.0,9.0,0.0,3975634.14,3.0,3,3,111.12459498643224
16,8895,2.0,8.0,37.6,0.0,5.0,0.0,24779919.71,4.0,1,3,111.12459498775976
17,8957,0.0,1.0,866.04,0.0,9.0,2.0,31775270.74,2.0,1,2,111.12459498710872
18,247542,16.0,33.0,7.6,2.0,2.0,2.0,3732329.06,3.0,3,1,111.12459498678358
19,748877,25.0,92.0,1525.0,0.0,9.0,3.0,1415096.11,2.0,1,1,111.1245949878623
20,301969,19.0,72.0,137.0,0.0,5.0,3.0,17088062.07,2.0,1,1,111.12459498791718
21,84988,12.0,28.0,2600.0,1.0,1.0,4.0,3699369.16,2.0,1,1,111.1245949870952
22,303304,22.0,78.0,783.99,1.0,1.0,3.0,27792.35,2.0,2,1,111.124594987004
23,1158920,17.0,9.0,253.0,0.0,0.0,4.0,3285673.01,9.0,3,2,111.12459498750331
24,36282,16.0,102.0,72.1,2.0,5.0,2.0,1057257.08,2.0,1,3,111.12459498768592
25,453957,11.0,34.0,254.69,0.0,9.0,0.0,501059.82,7.0,3,1,111.1245949864454
26,141836,22.0,14.0,570.0,1.0,7.0,3.0,20920.49,2.0,1,1,111.12459498718395
27,74200,16.0,19.0,18.96,0.0,5.0,3.0,3217727.29,10.0,2,1,111.12459498708412
28,161680,6.0,88.0,288.37,0.0,0.0,4.0,10058061.19,9.0,3,3,111.1245949865532
29,9054,12.0,68.0,1120.31,1.0,7.0,4.0,7426719.32,4.0,2,1,111.124594986421
30,37595,16.0,37.0,29.7,1.0,2.0,4.0,12899942.03,8.0,3,2,111.12459498708697
31,1517834,19.0,72.0,19.8,0.0,5.0,3.0,18548908.46,2.0,1,1,111.12459498699609
32,34933,16.0,81.0,156.4,2.0,7.0,3.0,152782.31,8.0,2,1,111.1245949874793
33,53668,21.0,76.0,177.91,0.0,0.0,0.0,120250835.9,5.0,3,2,111.12459498682044
34,458129,22.0,78.0,251.0,1.0,7.0,3.0,8509155.91,2.0,2,1,111.1245949867887
35,425654,6.0,20.0,61.0,0.0,0.0,4.0,3.89,0.0,3,2,111.12459498677948
36,36241,7.0,21.0,2926.0,0.0,0.0,4.0,18362407.3,10.0,2,3,111.12459498728111
37,211598,0.0,1.0,220.79,0.0,9.0,3.0,23601609.31,2.0,1,2,111.12459498748984
38,115679,8.0,23.0,40.6,1.0,2.0,4.0,9891692.7,8.0,3,2,111.12459498631762
39,217132,6.0,88.0,81.32,0.0,0.0,4.0,320856.4,3.0,3,3,111.12459498618828
40,341451,0.0,1.0,5515.0,3.0,8.0,4.0,1117987.16,3.0,3,1,111.12459498799326
41,31919,6.0,88.0,802.99,0.0,0.0,4.0,12491410.25,3.0,3,3,111.1245949858703
42,141834,22.0,14.0,394.0,1.0,7.0,3.0,32952.62,2.0,1,1,111.1245949872295
43,60182,1.0,6.0,519.61,1.0,3.0,1.0,7094720.18,9.0,3,2,111.12459498633308
44,8840,1.0,6.0,843.42,1.0,3.0,1.0,39707247.47,9.0,3,2,111.12459498653108
45,657411,22.0,78.0,277.88,1.0,7.0,3.0,899053.38,8.0,2,2,111.12459498699609
46,9049,12.0,68.0,4154.81,2.0,7.0,4.0,2837970.09,2.0,2,1,111.1245949867568
