Species,pathogenID,Host,hostID,Total Count,GenBank Count,RefSeq Count,Completed Count
Orthobunyavirus matruhense,3052419,Curruca curruca,43163,6,3,0,3
Orthobunyavirus thimiriense,3052449,Ardeola grayii,1158920,6,3,0,3
Orthonairovirus abuminaense,2843618,Streptopelia turtur,177155,6,3,0,6
Orthobunyavirus sedlecense,3052438,Acrocephalus scirpaceus,48156,8,5,0,3
Khurdivirus volgaense,2956058,Fulica atra,9121,9,6,0,3
Orthobunyavirus balagoduense,3060464,Ardeola grayii,1158920,3,0,0,3
Belem virus,2748241,Pyriglena leucoptera,265639,6,3,0,3
Orthobunyavirus batamaense,3052372,Euplectes afer,229097,6,3,0,3
Orthobunyavirus bobayaense,3060467,Turdus libonyana,411517,3,0,0,3
Paraavulavirus hongkongense,3052593,Anas platyrhynchos,8839,62,61,0,12
Parvoviridae sp.,1940570,Grus japonensis,30415,4,0,0,4
Picornaviridae sp.,1530251,Grus japonensis,30415,5,4,0,2
Grusopivirus A,2734536,Grus japonensis,30415,2,1,0,2
Grusopivirus B,2734537,Grus japonensis,30415,2,1,0,2
Gemycircularvirus sp.,1983771,Grus japonensis,30415,4,2,0,4
Chicken associated smacovirus,1932006,Gallus gallus,9031,8,6,0,8
Calicivirus chicken/V0021/Bayern/2004,889389,Gallus gallus,9031,2,1,0,2
Psittacine aviadenovirus C,2734577,Poicephalus senegalus,176045,3,2,0,2
Iltovirus gallidalpha1,3050286,Gallus gallus,9031,1177,1175,0,76
Mardivirus gallidalpha3,3050288,Gallus gallus,9031,4,2,0,2
Chaphamaparvovirus galliform1,3052106,Meleagris gallopavo,9103,4,3,0,1
Gruhelivirus A,2734535,Grus japonensis,30415,2,1,0,1
Chaphamaparvovirus galliform3,3052108,Gallus gallus,9031,3,2,0,2
Anativirus biphaco,2734519,Gallus gallus,9031,1,0,0,1
Chaphamaparvovirus galliform2,3052107,Gallus gallus,9031,15,14,0,10
Pingu picornavirus,2575832,Pygoscelis papua,30457,1,0,0,1
