,Organism Name,Species,Host,Total Count,GenBank Count,RefSeq Count,Completed Count
0,Matruh virus,Orthobunyavirus matruhense,Curruca curruca,6,3,0,3
1,Avian orthoreovirus,Avian orthoreovirus,Hypsipetes amaurotis,10,0,0,10
2,Orthobunyavirus thimiriense,Orthobunyavirus thimiriense,Ardeola grayii,6,3,0,3
3,Abu Hammad virus,Orthonairovirus abuhammadense,Columbidae,6,3,0,6
4,Abu Mina virus,Orthonairovirus abuminaense,Streptopelia turtur,6,3,0,6
5,Sedlec virus,Orthobunyavirus sedlecense,Acrocephalus scirpaceus,8,5,0,3
6,Khurdun virus,Khurdivirus volgaense,Fulica atra,9,6,0,3
7,Balagodu virus,Orthobunyavirus balagoduense,Ardeola grayii,3,0,0,3
8,Belem virus,Belem virus,Pyriglena leucoptera,6,3,0,3
9,Batama virus,Orthobunyavirus batamaense,Euplectes afer,6,3,0,3
10,Bobaya virus,Orthobunyavirus bobayaense,Turdus libonyana,3,0,0,3
11,Avian paramyxovirus 4,Paraavulavirus hongkongense,Anas platyrhynchos,41,40,0,5
12,Parvoviridae sp.,Parvoviridae sp.,Grus japonensis,4,0,0,4
13,Picornaviridae sp.,Picornaviridae sp.,Grus japonensis,5,4,0,2
14,grusopivirus A1,Grusopivirus A,Grus japonensis,2,1,0,2
15,grusopivirus B1,Grusopivirus B,Grus japonensis,2,1,0,2
16,Gemycircularvirus sp.,Gemycircularvirus sp.,Grus japonensis,4,2,0,4
17,Chicken associated smacovirus,Chicken associated smacovirus,Gallus gallus,8,6,0,8
18,Calicivirus chicken/V0021/Bayern/2004,Calicivirus chicken/V0021/Bayern/2004,Gallus gallus,2,1,0,2
19,grusopivirus C1,Grusopivirus C,Trichoglossus moluccanus,2,1,0,2
20,Psittacine adenovirus 1,Psittacine aviadenovirus C,Poicephalus senegalus,3,2,0,2
21,Gallid alphaherpesvirus 1,Iltovirus gallidalpha1,Gallus gallus,1175,1173,0,76
22,Gallid alphaherpesvirus 3,Mardivirus gallidalpha3,Gallus gallus,4,2,0,2
23,turkey parvovirus 2,Chaphamaparvovirus galliform1,Meleagris gallopavo,2,1,0,1
24,gruhelivirus A1,Gruhelivirus A,Grus japonensis,2,1,0,1
25,chicken chapparvovirus HK,Chaphamaparvovirus galliform3,Gallus gallus,2,1,0,1
26,anativirus B1,Anativirus biphaco,Gallus gallus,1,0,0,1
