,Species,Host,Total Count,GenBank Count,RefSeq Count,Completed Count
0,Orthobunyavirus matruhense,Curruca curruca,6,3,0,3
1,Avian orthoreovirus,Hypsipetes amaurotis,10,0,0,10
2,Orthobunyavirus thimiriense,Ardeola grayii,6,3,0,3
3,Orthonairovirus abuhammadense,Columbidae,6,3,0,6
4,Orthonairovirus abuminaense,Streptopelia turtur,6,3,0,6
5,Orthobunyavirus sedlecense,Acrocephalus scirpaceus,8,5,0,3
6,Khurdivirus volgaense,Fulica atra,9,6,0,3
7,Orthobunyavirus balagoduense,Ardeola grayii,3,0,0,3
8,Belem virus,Pyriglena leucoptera,6,3,0,3
9,Orthobunyavirus batamaense,Euplectes afer,6,3,0,3
10,Orthobunyavirus bobayaense,Turdus libonyana,3,0,0,3
11,Paraavulavirus hongkongense,Anas platyrhynchos,62,61,0,12
12,Parvoviridae sp.,Grus japonensis,4,0,0,4
13,Picornaviridae sp.,Grus japonensis,5,4,0,2
14,Grusopivirus A,Grus japonensis,2,1,0,2
15,Grusopivirus B,Grus japonensis,2,1,0,2
16,Gemycircularvirus sp.,Grus japonensis,4,2,0,4
17,Chicken associated smacovirus,Gallus gallus,8,6,0,8
18,Calicivirus chicken/V0021/Bayern/2004,Gallus gallus,2,1,0,2
19,Grusopivirus C,Trichoglossus moluccanus,2,1,0,2
20,Psittacine aviadenovirus C,Poicephalus senegalus,3,2,0,2
21,Iltovirus gallidalpha1,Gallus gallus,1177,1175,0,76
22,Mardivirus gallidalpha3,Gallus gallus,4,2,0,2
23,Chaphamaparvovirus galliform1,Meleagris gallopavo,4,3,0,1
24,Gruhelivirus A,Grus japonensis,2,1,0,1
25,Chaphamaparvovirus galliform3,Gallus gallus,3,2,0,2
26,Anativirus biphaco,Gallus gallus,1,0,0,1
27,Avian paramyxovirus 17,Aves,2,1,0,2
28,Chaphamaparvovirus galliform2,Gallus gallus,15,14,0,10
29,Pigeon parvovirus A,Columbidae,1,0,0,1
30,Pingu picornavirus,Pygoscelis papua,1,0,0,1
31,Gyrovirus myferr1,Myrmoderus ferrugineus,2,1,0,2
32,Psittacine siadenovirus E,Cacatua sanguinea,2,1,0,2
33,Avian metaavulavirus 21,Columbidae,14,13,0,4
34,Psittacine siadenovirus D,Forpus coelestis,2,1,0,2
35,Nyavirus sanjacintoense,Sturnus vulgaris,2,1,0,2
36,Chaphamaparvovirus galliform4,Pavo cristatus,2,1,0,2
37,Chaphamaparvovirus galliform5,Pavo cristatus,2,1,0,2
38,Chaphamaparvovirus psittacine1,Psittacara leucophthalmus,2,1,0,2
39,Porprismacovirus avias1,Neognathae,2,1,0,2
40,Gemykrogvirus galga5,Gallus gallus,2,1,0,2
41,Gemykrogvirus galga3,Gallus gallus,2,1,0,2
42,Gemykibivirus galga3,Gallus gallus,2,1,0,2
43,Gemykrogvirus galga1,Gallus gallus,2,1,0,2
44,Gemykibivirus galga1,Gallus gallus,2,1,0,2
45,Gemykrogvirus galga4,Gallus gallus,2,1,0,2
46,Gemykibivirus galga2,Gallus gallus,2,1,0,2
47,Porprismacovirus chicas2,Gallus gallus,2,1,0,2
48,Porprismacovirus chicas4,Gallus gallus,2,1,0,2
49,Porprismacovirus chicas6,Gallus gallus,2,1,0,2
50,Porprismacovirus chicas7,Gallus gallus,2,1,0,2
51,Porprismacovirus chicas3,Gallus gallus,2,1,0,2
52,Porprismacovirus chicas5,Gallus gallus,2,1,0,2
53,Genomoviridae sp.,Anser albifrons,8,7,0,8
54,Smacoviridae sp.,Pavo cristatus,4,2,0,4
55,Paslahepevirus balayani,Egretta garzetta,1,0,0,1
56,Nyavirus somateriae,Somateria mollissima,2,1,0,1
57,Aviadenovirus leucophthalmi,Psittacara leucophthalmus,2,1,0,1
58,Nauglamirvirus anduin,Gallus gallus,2,1,0,2
59,Sunrhavirus nasoule,Eurillas virens,4,3,0,2
60,Sunrhavirus ouango,Ploceus melanocephalus,4,3,0,2
61,Sunrhavirus alexandria,Curruca curruca,3,2,0,3
62,Sunrhavirus matariya,Curruca curruca,4,3,0,3
63,Cacatuid alphaherpesvirus 2,Amazona oratrix,2,1,0,2
64,Pileated finch aveparvovirus,Coryphospingus pileatus,2,1,0,1
65,Iltovirus psittacidalpha5,Psittacula krameri,8,7,0,3
66,Avian chapparvovirus,Neognathae,1,0,0,1
67,Dependoparvovirus avian1,Neognathae,1,0,0,1
