Species,NCBI Taxon ID,Order,Family,Genus,CE_clathrin,CE_receptor,CE_glycoproteins,other,finished
Orthobunyavirus matruhense,3052419,Bunyavirales,Peribunyaviridae,Orthobunyavirus,0.0,1.0,0.0,0.0,1.0
Avian orthoreovirus,38170,Reovirales,Spinareoviridae,Orthoreovirus,1.0,0.0,0.0,0.0,1.0
Orthobunyavirus thimiriense,3052449,Bunyavirales,Peribunyaviridae,Orthobunyavirus,0.0,1.0,0.0,0.0,1.0
Orthonairovirus abuhammadense,2843617,Bunyavirales,Nairoviridae,Orthonairovirus,0.0,0.0,1.0,0.0,1.0
Orthonairovirus abuminaense,2843618,Bunyavirales,Nairoviridae,Orthonairovirus,0.0,0.0,1.0,0.0,1.0
Orthobunyavirus sedlecense,3052438,Bunyavirales,Peribunyaviridae,Orthobunyavirus,0.0,1.0,0.0,0.0,1.0
Khurdivirus volgaense,2956058,Bunyavirales,Peribunyaviridae,Khurdivirus,0.0,1.0,0.0,0.0,1.0
Orthobunyavirus balagoduense,3060464,Bunyavirales,Peribunyaviridae,Orthobunyavirus,0.0,1.0,0.0,0.0,1.0
Belem virus,2748241,Bunyavirales,Peribunyaviridae,,0.0,1.0,0.0,0.0,1.0
Orthobunyavirus batamaense,3052372,Bunyavirales,Peribunyaviridae,Orthobunyavirus,0.0,1.0,0.0,0.0,1.0
Orthobunyavirus bobayaense,3060467,Bunyavirales,Peribunyaviridae,Orthobunyavirus,0.0,1.0,0.0,0.0,1.0
Paraavulavirus hongkongense,3052593,Mononegavirales,Paramyxoviridae,Paraavulavirus,0.0,0.0,1.0,0.0,1.0
Parvoviridae sp.,1940570,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Picornaviridae sp.,1530251,Picornavirales,Picornaviridae,,0.0,1.0,0.0,0.0,1.0
Grusopivirus A,2734536,Picornavirales,Picornaviridae,Grusopivirus,0.0,1.0,0.0,0.0,1.0
Grusopivirus B,2734537,Picornavirales,Picornaviridae,Grusopivirus,0.0,1.0,0.0,0.0,1.0
Gemycircularvirus sp.,1983771,Geplafuvirales,Genomoviridae,Gemycircularvirus,0.0,1.0,0.0,0.0,1.0
Chicken associated smacovirus,1932006,Cremevirales,Smacoviridae,Huchismacovirus,0.0,0.0,0.0,0.0,1.0
Calicivirus chicken/V0021/Bayern/2004,889389,Picornavirales,Caliciviridae,,0.0,1.0,0.0,0.0,1.0
Grusopivirus C,2844787,Picornavirales,Picornaviridae,Grusopivirus,0.0,1.0,0.0,0.0,1.0
Psittacine aviadenovirus C,2734577,Rowavirales,Adenoviridae,Aviadenovirus,0.0,0.0,1.0,0.0,1.0
Iltovirus gallidalpha1,3050286,Herpesvirales,Orthoherpesviridae,Iltovirus,0.0,0.0,1.0,0.0,1.0
Mardivirus gallidalpha3,3050288,Herpesvirales,Orthoherpesviridae,Mardivirus,0.0,0.0,1.0,0.0,1.0
Chaphamaparvovirus galliform1,3052106,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Gruhelivirus A,2734535,Picornavirales,Picornaviridae,Gruhelivirus,0.0,1.0,0.0,0.0,1.0
Chaphamaparvovirus galliform3,3052108,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Anativirus biphaco,2734519,Picornavirales,Picornaviridae,Anativirus,0.0,1.0,0.0,0.0,1.0
Avian paramyxovirus 17,2094282,Mononegavirales,Paramyxoviridae,,0.0,0.0,1.0,0.0,1.0
Chaphamaparvovirus galliform2,3052107,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Pigeon parvovirus A,1399967,Piccovirales,Parvoviridae,,1.0,0.0,0.0,0.0,1.0
Pingu picornavirus,2575832,Picornavirales,,,0.0,1.0,0.0,0.0,1.0
Gyrovirus myferr1,2844807,,Anelloviridae,Gyrovirus,0.0,1.0,0.0,0.0,1.0
Psittacine siadenovirus E,2845977,Rowavirales,Adenoviridae,Siadenovirus,0.0,0.0,1.0,0.0,1.0
Avian metaavulavirus 21,2613793,Mononegavirales,Paramyxoviridae,Metaavulavirus,0.0,0.0,1.0,0.0,1.0
Psittacine siadenovirus D,2845976,Rowavirales,Adenoviridae,Siadenovirus,0.0,0.0,1.0,0.0,1.0
Nyavirus sanjacintoense,2845026,Mononegavirales,Nyamiviridae,Nyavirus,0.0,0.0,1.0,0.0,1.0
Chaphamaparvovirus galliform4,3052109,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Chaphamaparvovirus galliform5,3052110,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Chaphamaparvovirus psittacine1,3052112,Piccovirales,Parvoviridae,Chaphamaparvovirus,1.0,0.0,0.0,0.0,1.0
Porprismacovirus avias1,2845875,Cremevirales,Smacoviridae,Porprismacovirus,0.0,0.0,0.0,0.0,1.0
Gemykrogvirus galga5,2844632,Geplafuvirales,Genomoviridae,Gemykrogvirus,0.0,1.0,0.0,0.0,1.0
Gemykrogvirus galga3,2844630,Geplafuvirales,Genomoviridae,Gemykrogvirus,0.0,1.0,0.0,0.0,1.0
Gemykibivirus galga3,2844572,Geplafuvirales,Genomoviridae,Gemykibivirus,0.0,1.0,0.0,0.0,1.0
Gemykrogvirus galga1,2844628,Geplafuvirales,Genomoviridae,Gemykrogvirus,0.0,1.0,0.0,0.0,1.0
Gemykibivirus galga1,2844570,Geplafuvirales,Genomoviridae,Gemykibivirus,0.0,1.0,0.0,0.0,1.0
Gemykrogvirus galga4,2844631,Geplafuvirales,Genomoviridae,Gemykrogvirus,0.0,1.0,0.0,0.0,1.0
Gemykibivirus galga2,2844571,Geplafuvirales,Genomoviridae,Gemykibivirus,0.0,1.0,0.0,0.0,1.0
Porprismacovirus chicas2,2845885,Cremevirales,Smacoviridae,Porprismacovirus,0.0,0.0,0.0,0.0,1.0
Porprismacovirus chicas4,2845887,Cremevirales,Smacoviridae,Porprismacovirus,0.0,0.0,0.0,0.0,1.0
Porprismacovirus chicas6,2845889,Cremevirales,Smacoviridae,Porprismacovirus,0.0,0.0,0.0,0.0,1.0
Porprismacovirus chicas7,2845890,Cremevirales,Smacoviridae,Porprismacovirus,0.0,0.0,0.0,0.0,1.0
Porprismacovirus chicas3,2845886,Cremevirales,Smacoviridae,Porprismacovirus,0.0,0.0,0.0,0.0,1.0
