Species,NCBI Taxon ID,Order,Family,Genus
Khurdivirus volgaense,2956058,Bunyavirales,Peribunyaviridae,Khurdivirus
Belem virus,2748241,Bunyavirales,Peribunyaviridae,
Parvoviridae sp.,1940570,Piccovirales,Parvoviridae,
Picornaviridae sp.,1530251,Picornavirales,Picornaviridae,
Grusopivirus A,2734536,Picornavirales,Picornaviridae,Grusopivirus
Grusopivirus B,2734537,Picornavirales,Picornaviridae,Grusopivirus
Chicken associated smacovirus,1932006,Cremevirales,Smacoviridae,Huchismacovirus
Calicivirus chicken/V0021/Bayern/2004,889389,Picornavirales,Caliciviridae,
Grusopivirus C,2844787,Picornavirales,Picornaviridae,Grusopivirus
Chaphamaparvovirus galliform1,3052106,Piccovirales,Parvoviridae,Chaphamaparvovirus
Gruhelivirus A,2734535,Picornavirales,Picornaviridae,Gruhelivirus
Chaphamaparvovirus galliform3,3052108,Piccovirales,Parvoviridae,Chaphamaparvovirus
Anativirus biphaco,2734519,Picornavirales,Picornaviridae,Anativirus
Avian paramyxovirus 17,2094282,Mononegavirales,Paramyxoviridae,
Chaphamaparvovirus galliform2,3052107,Piccovirales,Parvoviridae,Chaphamaparvovirus
Pigeon parvovirus A,1399967,Piccovirales,Parvoviridae,
Pingu picornavirus,2575832,Picornavirales,,
Chaphamaparvovirus galliform4,3052109,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus galliform5,3052110,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus psittacine1,3052112,Piccovirales,Parvoviridae,Chaphamaparvovirus
Porprismacovirus avias1,2845875,Cremevirales,Smacoviridae,Porprismacovirus
Porprismacovirus chicas2,2845885,Cremevirales,Smacoviridae,Porprismacovirus
Porprismacovirus chicas4,2845887,Cremevirales,Smacoviridae,Porprismacovirus
Porprismacovirus chicas6,2845889,Cremevirales,Smacoviridae,Porprismacovirus
Porprismacovirus chicas7,2845890,Cremevirales,Smacoviridae,Porprismacovirus
Porprismacovirus chicas3,2845886,Cremevirales,Smacoviridae,Porprismacovirus
Porprismacovirus chicas5,2845888,Cremevirales,Smacoviridae,Porprismacovirus
Genomoviridae sp.,2202565,Geplafuvirales,Genomoviridae,
Smacoviridae sp.,2715094,Cremevirales,Smacoviridae,
Aviadenovirus leucophthalmi,2955388,,,
Nauglamirvirus anduin,2956213,Rivendellvirales,Naryaviridae,Nauglamirvirus
Cacatuid alphaherpesvirus 2,2604840,Herpesvirales,Orthoherpesviridae,
Avian chapparvovirus,2604334,Piccovirales,Parvoviridae,Chapparvovirus
Chaphamaparvovirus anseriform4,3059860,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus anseriform1,3059857,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus anseriform2,3059858,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus anseriform3,3059859,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus strigiform1,3059872,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus anseriform5,3059861,Piccovirales,Parvoviridae,Chaphamaparvovirus
Chaphamaparvovirus anseriform6,3059862,Piccovirales,Parvoviridae,Chaphamaparvovirus
Rhabdoviridae sp.,1955137,Mononegavirales,Rhabdoviridae,
WigFec circovirus 1,2873951,Cirlivirales,Circoviridae,
WigFec circovirus 2,2873952,Cirlivirales,Circoviridae,
Phapecoctavirus TSP7,2956303,,,Phapecoctavirus
Poecivirus A,2560644,Picornavirales,Picornaviridae,Poecivirus
Nacovirus A,2560612,Picornavirales,Caliciviridae,Nacovirus
Chicken stool associated circular virus 2,2109374,,,
Chicken stool associated circular virus 1,2109373,,,
Apteryx rowi circovirus-like virus,1634476,Cirlivirales,Circoviridae,
Ludopivirus A,2734539,Picornavirales,Picornaviridae,Ludopivirus
Blackbird arilivirus,2099352,Picornavirales,,
Huchismacovirus chicas1,2844965,Cremevirales,Smacoviridae,Huchismacovirus
Huchismacovirus chicas2,2844966,Cremevirales,Smacoviridae,Huchismacovirus
Falcon picornavirus,1964370,Picornavirales,Picornaviridae,
Garrulus glandarius associated circular virus 1,2006642,Cirlivirales,Circoviridae,
Jingmen tombus-like virus 1,1923351,,,
Jingmen tombus-like virus 2,1938656,,,
Jingmen picorna-like virus,1923350,,,
Bavaria virus,2560343,Picornavirales,Caliciviridae,Bavovirus
Chicken stool-associated circular virus,1930302,,,
Duck faeces associated circular DNA virus 1,1843768,,,
Duck faeces associated circular DNA virus 2,1843769,,,
Duck faeces associated circular DNA virus 3,1843770,,,
Astrovirus Er/SZAL6/HUN/2011,1671382,Stellavirales,Astroviridae,
Orivirus A,2170052,Picornavirales,Picornaviridae,Orivirus
Farmington virus,1027468,Mononegavirales,Rhabdoviridae,
Chicken picornavirus 1,1534544,Picornavirales,Picornaviridae,
Chicken picornavirus 4,1534547,Picornavirales,Picornaviridae,
Treiszetapapillomavirus 1,1922208,Zurhausenvirales,Papillomaviridae,Treiszetapapillomavirus
Goose calicivirus,1493858,Picornavirales,Caliciviridae,
Aalivirus apekidu,2169685,Picornavirales,Picornaviridae,Aalivirus
Treisepsilonpapillomavirus 1,1921778,Zurhausenvirales,Papillomaviridae,Treisepsilonpapillomavirus
Cyanoramphus nest associated circular X DNA virus,1282443,,,
Cyanoramphus nest associated circular K DNA virus,1282444,,,
Porprismacovirus turas1,2845936,Cremevirales,Smacoviridae,Porprismacovirus
Quail picornavirus QPV1/HUN/2010,1089138,Picornavirales,Picornaviridae,
Pigeon picornavirus B,928289,Picornavirales,Picornaviridae,
Avian endogenous retrovirus EAV-HP,93465,Ortervirales,Retroviridae,
Chicken genomovirus,1985367 ,Geplafuvirales,Genomoviridae,
Microbacterium phage P8_2022_SA,Not found,,,
Burhinus oedicnemus herpesvirus,548681,,,
Java sparrow circovirus,39725,Cirlivirales,Circoviridae,
Red-fronted serin circovirus,39725,Cirlivirales,Circoviridae,
Hawfinch circovirus,39725,Cirlivirales,Circoviridae,
Crow circovirus,39725,Cirlivirales,Circoviridae,
Magpie circovirus,39725,Cirlivirales,Circoviridae,
European goldfinch circovirus,39725,Cirlivirales,Circoviridae,
Purple grenadier circovirus,39725,Cirlivirales,Circoviridae,
Bengalese munia circovirus,39725,Cirlivirales,Circoviridae,
White-rumped seedeater circovirus,39725,Cirlivirales,Circoviridae,
Common grenadier circovirus,39725,Cirlivirales,Circoviridae,
Common bullfinch circovirus,39725,Cirlivirales,Circoviridae,
Eurasian blackcap circovirus,39725,Cirlivirales,Circoviridae,
Common crossbill circovirus,39725,Cirlivirales,Circoviridae,
Common blackbird circovirus,39725,Cirlivirales,Circoviridae,
Eurasian jay circovirus,39725,Cirlivirales,Circoviridae,
Western jackdaw circovirus,39725,Cirlivirales,Circoviridae,
Mynah circovirus,39725,Cirlivirales,Circoviridae,
Lavender waxbill polyomavirus,36362,Sepolyvirales,Polyomaviridae,
Psittacine adenovirus 2,1301246,Rowavirales,Adenoviridae,
Anatid alphaherpesvirus 2,3080522,Herpesvirales,Orthoherpesviridae,
Anatid alphaherpesvirus 3,3233541,Herpesvirales,Orthoherpesviridae,
Chicken proventricular necrosis virus,908207,,Birnaviridae,
Avihepevirus magniiecur,1678144,Hepelivirales,Hepeviridae,Avihepevirus
Ostrich parvovirus,2699166,Piccovirales,Parvoviridae,
Crucivirus sp.,2569971,,,
Tick-associated DNA virus,3138950,,,
CRESS DNA virus,3138951,,,
Tick-associated circular DNA virus,2963861,,,
Sewage-associated circular DNA virus,3138952,,,
Cressdnaviricota sp.,2748378,,,
Chimeric virus 14,1608440,,,
Paramecium bursaria Chlorella virus,3138953,,,
bar-headed goose anativirus,3155980,Picornavirales,Picornaviridae,Anativirus
Larus ridibundus coronavirus,3153733,Nidovirales,Coronaviridae,
Anser fabalis coronavirus,3153734,Nidovirales,Coronaviridae,
Duck-dominant coronavirus,1649337,Nidovirales,Coronaviridae,
Torque teno virus,68887,,Anelloviridae,
Parvovirus phylloscopus5247,3117183,Piccovirales,Parvoviridae,
Parvovirus luscinia6815,3117122,Piccovirales,Parvoviridae,
Parvovirus phoenicurus4436,3117181,Piccovirales,Parvoviridae,
Parvovirus phoenicurus12233s2,3117180,Piccovirales,Parvoviridae,
Parvovirus zapornia4554,3117225,Piccovirales,Parvoviridae,
Parvovirus laniidae3881,3117115,Piccovirales,Parvoviridae,
Parvovirus lanius6615,3117116,Piccovirales,Parvoviridae,
Herpesvirus eupittula14478,3116695,Herpesvirales,,
Parvovirus chrysococcyx3867a,3117070,Piccovirales,Parvoviridae,
Parvovirus turdus6774,3117217,Piccovirales,Parvoviridae,
Adenovirus acanthiza15342,3115873,Rowavirales,Adenoviridae,
Parvovirus turdus4154,3117216,Piccovirales,Parvoviridae,
Parvovirus phylloscopus5401s2,3117185,Piccovirales,Parvoviridae,
Polyomavirus odontophorus5057,3117261,Sepolyvirales,Polyomaviridae,
Parvovirus grus5099,3117098,Piccovirales,Parvoviridae,
Polyomavirus phylloscopus4853,3117270,Sepolyvirales,Polyomaviridae,
Parvovirus anas3568,3117034,Piccovirales,Parvoviridae,
Parvovirus sylvia4828,3117208,Piccovirales,Parvoviridae,
Parvovirus leiothrix4587,3117119,Piccovirales,Parvoviridae,
Parvovirus numida6704,3117160,Piccovirales,Parvoviridae,
Parvovirus emberiza5140,3117078,Piccovirales,Parvoviridae,
Polyomavirus erythrura5304,3117230,Sepolyvirales,Polyomaviridae,
Parvovirus luscinia5410,3117121,Piccovirales,Parvoviridae,
Papillomavirus numida8051,3116987,Zurhausenvirales,Papillomaviridae,
Polyomavirus taeniopygia5555,3117282,Sepolyvirales,Polyomaviridae,
Parvovirus zonotrichia4755,3117226,Piccovirales,Parvoviridae,
Parvovirus anser6262,3117037,Piccovirales,Parvoviridae,
Parvovirus larvivora5808,3117117,Piccovirales,Parvoviridae,
Parvovirus grus5877,3117099,Piccovirales,Parvoviridae,
Parvovirus chalcites3867,3117064,Piccovirales,Parvoviridae,
Parvovirus phoenicopterus3947,3117178,Piccovirales,Parvoviridae,
