Pathogen Species,GA
Aalivirus A,nan
Aalivirus apekidu,GCF_000919155.1
Acanthis flammea CRESS-DNA-virus sp.,nan
Accipiter gentilis parvo-like hybrid virus,nan
Accipiter gentilis parvoviridae sp.,nan
Adeno-associated virus,GCF_004129875.1
Adenoviridae sp.,nan
Adenovirus acanthiza15342,nan
Adintovirus pavo15764,nan
Aegithalos caudatus CRESS-DNA-virus sp.,nan
Aegithalos caudatus parvoviridae sp.,nan
Aichivirus A,0
Akhtuba virus,0
Albatrosspox virus,nan
Alphachrysovirus shuangaoense,0
Alphainfluenzavirus influenzae,GCF_000864105.1
Amundsen virus,0
Anas platyrhynchos papillomavirus 2,nan
Anas platyrhynchos papillomavirus 3,nan
Anatid alphaherpesvirus 1,nan
Anatid alphaherpesvirus 2,nan
Anatid alphaherpesvirus 3,nan
Anativirus B,0
Anativirus biphaco,GCF_013087335.1
Anativirus sp.,nan
Anellovirus gallus2670,nan
Anellovirus meleagris2358,nan
Anellovirus meleagris2399,nan
Anser anser CRESS-DNA-virus sp.,nan
Anser anser dependoparvovirus,nan
Anser circovirus,nan
Anser cygnoides coronavirus,0
Anser fabalis coronavirus,nan
Anser fabalis coronavirus NCN2,nan
Antarctic picorna-like virus,0
Antarctic virus 1_II_CPGEORsw003Ad,nan
Antarctic virus 1_II_CPGEORsw003Ch,nan
Antarctic virus 1_I_CPGEORsw001Ad,nan
Antarctic virus 1_I_CPGEORsw002Ad,nan
Antarctic virus 2_I_GPYANKsw001Ad,nan
Antarctic virus 2_I_GPYANKsw001Ch,nan
Antarctic virus 2_I_GPYANKsw002Ad,nan
Antarctic virus 2_I_GPYANKsw003Ad,nan
Antarctic virus 2_I_GPYANKsw004Ad,nan
Antarctic virus 3_III_KPSTAsw010Ad,nan
Antarctic virus 3_III_KPSTAsw014Ch,nan
Antarctic virus 3_III_KPSTAsw016Ch,nan
Antarctic virus 3_III_KPSTAsw018Ch,nan
Antarctic virus 3_III_KPSTAsw019Ch,nan
Antarctic virus 3_II_CPHALFsw005Ad,nan
Antarctic virus 3_IV_KPSTAsw015Ch,nan
Antarctic virus 3_I_CPHALFsw004Ad,nan
Antarctic virus 3_V_CPHALFsw003Ad,nan
Antarctic virus 4_II_KPSTAsw004Ad,nan
Antarctic virus 4_II_KPSTAsw014Ch,nan
Antarctic virus 4_II_KPSTAsw015Ch,nan
Antarctic virus 4_II_KPSTAsw016Ch,nan
Antarctic virus 4_II_KPSTAsw017Ch,nan
Antarctic virus 4_II_KPSTAsw018Ch,nan
Antarctic virus 4_II_KPSTAsw019Ch,nan
Antarctic virus 4_I_KPSTAsw001Ad,nan
Antarctic virus 4_I_KPSTAsw002Ad,nan
Antarctic virus 4_I_KPSTAsw008Ad,nan
Antarctic virus 4_I_KPSTAsw009Ad,nan
Antarctic virus 4_I_KPSTAsw010Ad,nan
Antarctic virus 5_I_KPSTAsw001Ad,nan
Antarctic virus 5_I_KPSTAsw002Ad,nan
Antarctic virus 5_I_KPSTAsw004Ad,nan
Antarctic virus 5_I_KPSTAsw008Ad,nan
Antarctic virus 5_I_KPSTAsw009Ad,nan
Antarctic virus 5_I_KPSTAsw018Ch,nan
Antarctic virus 5_I_KPSTAsw020Ch,nan
Antarctic virus 6_I_APBOOTsw001Ad,nan
Antarctic virus 6_I_APBOOTsw001Ch,nan
Apapanepox virus,nan
Aplomado falcon AAV1,0
Aplomado falcon AAV2,0
Apteryx rowi circovirus-like virus,GCF_004129215.1
Aquila chrysaetos herpesvirus,nan
Ara ararauna Chaphamaparvovirus,nan
Ara ararauna aveparvovirus,nan
Ara ararauna parvoviridae sp.,nan
Ara severa parvoviridae sp.,nan
Ardenna gravis alphaherpesvirus,nan
Artemyev virus,0
Arundinax aedon parvoviridae sp.,nan
Asio otus herpesvirus,nan
Astroviridae sp.,nan
Astrovirus CDB-2012,0
Astrovirus Er/BMTK529/HUN/2011,0
Astrovirus Er/SZAL6/HUN/2011,GCF_001045265.1
Astrovirus HK-2014,0
Astrovirus Pygoscelis/DT/2012,0
Astrovirus black-naped monarch/Cambodia/2010,0
Atadenovirus sp.,nan
Australian shelduck avian sapelovirus,0
Avastrovirus 1,0
Avastrovirus 2,nan
Avastrovirus 3,nan
Avastrovirus guineafowl/ITA/2010/Bari-ELVA,0
Avastrovirus sp.,nan
Aveparvovirus columbid1,0
Aveparvovirus galliform1,nan
Aveparvovirus gruiform1,GCF_004130255.1
Aveparvovirus sp.,nan
Averyanov virus,0
Aviadenovirus KLC-2015,0
Aviadenovirus hydropericardii,nan
Aviadenovirus leucophthalmi,GCF_023131475.1
Aviadenovirus sp.,nan
Avian HDV-like agent,GCF_004134625.1
Avian associated bastrovirus 1,nan
Avian associated bastrovirus 2,nan
Avian associated calicivirus 1,nan
Avian associated calicivirus 2,nan
Avian associated calicivirus 3,nan
Avian associated calicivirus 4,nan
Avian associated calicivirus 5,nan
Avian associated hepe-like virus 1,nan
Avian associated hepe-like virus 10,nan
Avian associated hepe-like virus 2,nan
Avian associated hepe-like virus 3,nan
Avian associated hepe-like virus 4,nan
Avian associated hepe-like virus 5,nan
Avian associated hepe-like virus 6,nan
Avian associated hepe-like virus 7,nan
Avian associated hepe-like virus 8,nan
Avian associated hepe-like virus 9,nan
Avian associated orbivirus 1,nan
Avian associated picorna-like virus 1,nan
Avian associated picorna-like virus 10,nan
Avian associated picorna-like virus 11,nan
Avian associated picorna-like virus 13,nan
Avian associated picorna-like virus 14,nan
Avian associated picorna-like virus 15,nan
Avian associated picorna-like virus 16,nan
Avian associated picorna-like virus 17,nan
Avian associated picorna-like virus 18,nan
Avian associated picorna-like virus 19,nan
Avian associated picorna-like virus 2,nan
Avian associated picorna-like virus 20,nan
Avian associated picorna-like virus 21,nan
Avian associated picorna-like virus 22,nan
