NCBI Taxon ID,cytoplasm
2169685,1
2815018,
2794564,0
2794463,0
272636,0
2558248,0
3115873,0
3115938,0
2815021,
2794464,0
72149,1
1539747,1
2811222,0
2560765,1
2955291,0
2707192,
2855326,0
3112618,0
104388,0
3080522,0
3233541,0
2734519,1
2809150,1
3115989,0
3115994,0
3115995,0
2815022,
2794569,0
3113012,0
1934040,1
3153734,1
2860474,1
2184269,1
2761171,
2761172,
2761173,
2761174,
2761175,
2761176,
2761177,
2761178,
2761179,
2761180,
2761181,
2761182,
2761183,
2761184,
2761185,
2761186,
2761187,
2761188,
2761189,
2761190,
2761191,
2761192,
2761193,
2761194,
2761195,
2761196,
2761197,
2761198,
2761199,
2761200,
2761201,
2761202,
2761203,
2761204,
2761205,
2761206,
2761207,
2761208,
2761209,
3049969,1
416277,0
416278,0
1634476,0
2928392,0
2794484,0
2794555,0
2794466,0
2794467,0
3129244,0
2707193,
2794465,0
2489501,0
2585114,1
1166568,1
1671381,1
1671382,1
1566335,1
1586002,1
1752874,1
2671518,0
2592486,1
1239437,1
1239438,1
1239439,1
1176481,1
2809168,1
3051982,0
3051983,0
3051984,0
2715213,0
2707194,
1652541,0
3250174,0
2955388,
2217649,0
2364132,0
2936949,1
2936950,1
2936951,1
2936952,1
2936953,1
2936954,1
2996223,1
2936955,0
2996224,0
2936956,0
2936957,0
2936958,0
2936959,0
2936960,0
2996225,0
2996226,0
2996227,0
2936961,1
2936962,1
2936963,1
2936964,1
2996207,1
2996208,1
2996209,1
2996210,1
2996211,1
2996212,1
2996213,1
2936965,1
2996214,1
2996215,1
2996216,1
2996217,1
2996218,1
2996219,1
2996220,1
2996221,1
2936966,1
2936967,1
2936968,1
2936969,1
2936970,1
2936971,1
2936972,1
2936973,1
2936974,1
2936975,1
2936976,1
2936977,1
2936978,1
1914440,1
2936979,1
3242737,1
675389,0
2604334,0
694014,1
2734509,1
2724194,1
93465,0
11945,0
2781374,0
11864,0
2986276,1
2613793,1
11960,0
1354735,1
640327,1
38170,1
2094282,1
1049185,1
2919602,1
1382266,1
1702318,0
11955,0
639242,1
639243,1
639244,1
639245,1
639246,1
639247,1
639248,1
639249,1
639250,1
639251,1
639252,1
639253,1
639254,1
639255,1
639256,1
639257,1
639258,1
639259,1
639260,1
639261,1
639262,1
639263,1
639264,1
639265,1
639266,1
639267,1
639268,1
639269,1
639270,1
639271,1
639272,1
639273,1
639274,1
639275,1
639276,1
639277,1
639278,1
639279,1
639280,1
639281,1
3048151,1
691956,1
2212748,1
2955389,0
1678144,0
2744857,1
2019388,1
1047190,1
