NCBI Taxon ID,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense
3052419,1.0,0.0,0.0,1.0,1.0,0.0,1.0
38170,0.0,0.0,1.0,1.0,1.0,0.0,0.0
3052449,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2843617,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2843618,1.0,0.0,0.0,1.0,1.0,0.0,1.0
3052438,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2956058,1.0,0.0,0.0,1.0,1.0,0.0,1.0
3060464,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2748241,1.0,0.0,0.0,1.0,1.0,0.0,1.0
3052372,1.0,0.0,0.0,1.0,1.0,0.0,1.0
3060467,1.0,0.0,0.0,1.0,1.0,0.0,1.0
3052593,1.0,0.0,0.0,1.0,,0.0,1.0
1940570,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1530251,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2734536,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2734537,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1983771,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1932006,,1.0,0.0,0.0,0.0,0.0,0.0
889389,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2844787,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2734577,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3050286,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3050288,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3052106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2734535,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3052108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2734519,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2094282,1.0,0.0,0.0,1.0,1.0,0.0,1.0
3052107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1399967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2575832,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2844807,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2845977,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2613793,1.0,0.0,0.0,1.0,,0.0,1.0
2845976,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2845026,1.0,0.0,0.0,1.0,,0.0,1.0
3052109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3052110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3052112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2845875,,1.0,0.0,0.0,0.0,0.0,0.0
2844632,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2844630,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2844572,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2844628,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2844570,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2844631,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2844571,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2845885,,1.0,0.0,0.0,0.0,0.0,0.0
2845887,,1.0,0.0,0.0,0.0,0.0,0.0
2845889,,1.0,0.0,0.0,0.0,0.0,0.0
2845890,,1.0,0.0,0.0,0.0,0.0,0.0
2845886,,1.0,0.0,0.0,0.0,0.0,0.0
2845888,,1.0,0.0,0.0,0.0,0.0,0.0
2202565,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2715094,,1.0,0.0,0.0,0.0,0.0,0.0
1678143,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2956231,1.0,0.0,0.0,1.0,,0.0,1.0
2955388,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2956213,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2956485,1.0,0.0,0.0,1.0,,0.0,1.0
2956483,1.0,0.0,0.0,1.0,,0.0,1.0
2956478,1.0,0.0,0.0,1.0,,0.0,1.0
2956482,1.0,0.0,0.0,1.0,,0.0,1.0
2604840,1.0,0.0,1.0,0.0,0.0,0.0,0.0
