,NCBI Taxon ID,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense
0,3052419,1.0,0.0,0.0,1.0,1.0,0.0,1.0
1,38170,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2,3052449,1.0,0.0,0.0,1.0,1.0,0.0,1.0
3,2843617,1.0,0.0,0.0,1.0,1.0,0.0,1.0
4,2843618,1.0,0.0,0.0,1.0,1.0,0.0,1.0
5,3052438,1.0,0.0,0.0,1.0,1.0,0.0,1.0
6,2956058,1.0,0.0,0.0,1.0,1.0,0.0,1.0
7,3060464,1.0,0.0,0.0,1.0,1.0,0.0,1.0
8,2748241,1.0,0.0,0.0,1.0,1.0,0.0,1.0
9,3052372,1.0,0.0,0.0,1.0,1.0,0.0,1.0
10,3060467,1.0,0.0,0.0,1.0,1.0,0.0,1.0
11,3052593,1.0,0.0,0.0,1.0,3.0,0.0,1.0
12,1940570,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1530251,0.0,0.0,0.0,1.0,0.0,1.0,0.0
14,2734536,0.0,0.0,0.0,1.0,0.0,1.0,0.0
15,2734537,0.0,0.0,0.0,1.0,0.0,1.0,0.0
16,1983771,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,1932006,3.0,1.0,0.0,0.0,0.0,0.0,0.0
18,889389,0.0,0.0,0.0,1.0,0.0,1.0,0.0
19,2844787,0.0,0.0,0.0,1.0,0.0,1.0,0.0
20,2734577,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,3050286,1.0,1.0,0.0,0.0,0.0,0.0,0.0
22,3050288,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23,3052106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2734535,0.0,0.0,0.0,1.0,0.0,1.0,0.0
25,3052108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2734519,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27,2094282,1.0,0.0,0.0,1.0,1.0,0.0,1.0
28,3052107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1399967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2575832,0.0,0.0,0.0,1.0,0.0,1.0,0.0
31,2844807,0.0,1.0,1.0,0.0,0.0,0.0,0.0
32,2845977,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,2613793,1.0,0.0,0.0,1.0,3.0,0.0,1.0
34,2845976,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,2845026,1.0,0.0,0.0,1.0,3.0,0.0,1.0
36,3052109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3052110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,3052112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2845875,3.0,1.0,0.0,0.0,0.0,0.0,0.0
40,2844632,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2844630,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,2844572,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,2844628,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,2844570,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,2844631,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,2844571,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47,2845885,3.0,1.0,0.0,0.0,0.0,0.0,0.0
48,2845887,3.0,1.0,0.0,0.0,0.0,0.0,0.0
49,2845889,3.0,1.0,0.0,0.0,0.0,0.0,0.0
50,2845890,3.0,1.0,0.0,0.0,0.0,0.0,0.0
51,2845886,3.0,1.0,0.0,0.0,0.0,0.0,0.0
52,2845888,3.0,1.0,0.0,0.0,0.0,0.0,0.0
53,2202565,0.0,1.0,0.0,0.0,0.0,1.0,1.0
54,2715094,3.0,1.0,0.0,0.0,0.0,0.0,0.0
55,1678143,0.0,0.0,0.0,1.0,0.0,1.0,0.0
56,2956231,1.0,0.0,0.0,1.0,3.0,0.0,1.0
57,2955388,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,2956213,0.0,1.0,1.0,0.0,0.0,0.0,0.0
59,2956485,1.0,0.0,0.0,1.0,3.0,0.0,1.0
60,2956483,1.0,0.0,0.0,1.0,3.0,0.0,1.0
61,2956478,1.0,0.0,0.0,1.0,3.0,0.0,1.0
62,2956482,1.0,0.0,0.0,1.0,3.0,0.0,1.0
63,2604840,1.0,0.0,1.0,0.0,0.0,0.0,0.0
64,2137544,0.0,0.0,1.0,0.0,3.0,0.0,0.0
65,3060048,1.0,1.0,0.0,0.0,0.0,0.0,0.0
66,2604334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1511894,0.0,0.0,1.0,0.0,3.0,0.0,0.0
68,3059860,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,3059857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,3059858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,3059859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,3059872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,3059861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,3059862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
