NCBI Taxon ID,CE_clathrin,CE_receptor,CE_glycoproteins,CE_clathrin_na,CE_receptor_na,CE_glycoproteins_na,other_entry,other_entry_na
3052419,0,1,0,0,0,0,0,0
38170,1,0,0,0,0,0,0,0
3052449,0,1,0,0,0,0,0,0
2843617,0,0,1,0,0,0,0,0
2843618,0,0,1,0,0,0,0,0
3052438,0,1,0,0,0,0,0,0
2956058,0,1,0,0,0,0,0,0
3060464,0,1,0,0,0,0,0,0
2748241,0,1,0,0,0,0,0,0
3052372,0,1,0,0,0,0,0,0
3060467,0,1,0,0,0,0,0,0
3052593,0,0,1,0,0,0,0,0
1940570,1,0,0,0,0,0,0,0
1530251,0,1,0,0,0,0,0,0
2734536,0,1,0,0,0,0,0,0
2734537,0,1,0,0,0,0,0,0
1983771,0,1,0,0,0,0,0,0
1932006,0,0,0,0,0,0,0,0
889389,0,1,0,0,0,0,0,0
2844787,0,1,0,0,0,0,0,0
2734577,0,0,1,0,0,0,0,0
3050286,0,0,1,0,0,0,0,0
3050288,0,0,1,0,0,0,0,0
3052106,1,0,0,0,0,0,0,0
2734535,0,1,0,0,0,0,0,0
3052108,1,0,0,0,0,0,0,0
2734519,0,1,0,0,0,0,0,0
2094282,0,0,1,0,0,0,0,0
3052107,1,0,0,0,0,0,0,0
1399967,1,0,0,0,0,0,0,0
2575832,0,1,0,0,0,0,0,0
2844807,0,1,0,0,0,0,0,0
2845977,0,0,1,0,0,0,0,0
2613793,0,0,1,0,0,0,0,0
2845976,0,0,1,0,0,0,0,0
2845026,0,0,1,0,0,0,0,0
3052109,1,0,0,0,0,0,0,0
3052110,1,0,0,0,0,0,0,0
3052112,1,0,0,0,0,0,0,0
2845875,0,0,0,0,0,0,0,0
2844632,0,1,0,0,0,0,0,0
2844630,0,1,0,0,0,0,0,0
2844572,0,1,0,0,0,0,0,0
2844628,0,1,0,0,0,0,0,0
2844570,0,1,0,0,0,0,0,0
2844631,0,1,0,0,0,0,0,0
2844571,0,1,0,0,0,0,0,0
2845885,0,0,0,0,0,0,0,0
2845887,0,0,0,0,0,0,0,0
2845889,0,0,0,0,0,0,0,0
2845890,0,0,0,0,0,0,0,0
2845886,0,0,0,0,0,0,0,0
2845888,0,0,0,0,0,0,0,0
2202565,0,1,0,0,0,0,0,0
2715094,0,0,0,0,0,0,0,0
1678143,1,0,0,0,0,0,0,0
2956231,0,0,1,0,0,0,0,0
2955388,0,0,0,0,0,0,0,1
2956213,0,1,0,0,0,0,0,0
2956485,0,0,1,0,0,0,0,0
2956483,0,0,1,0,0,0,0,0
2956478,0,0,1,0,0,0,0,0
2956482,0,0,1,0,0,0,0,0
2604840,0,0,1,0,0,0,0,0
2137544,1,0,0,0,0,0,0,0
3060048,0,0,1,0,0,0,0,0
2604334,1,0,0,0,0,0,0,0
1511894,1,0,0,0,0,0,0,0
3059860,1,0,0,0,0,0,0,0
3059857,1,0,0,0,0,0,0,0
3059858,1,0,0,0,0,0,0,0
3059859,1,0,0,0,0,0,0,0
3059872,1,0,0,0,0,0,0,0
3059861,1,0,0,0,0,0,0,0
3059862,1,0,0,0,0,0,0,0
1955137,0,0,1,0,0,0,0,0
3059946,1,0,0,0,0,0,0,0
3059936,1,0,0,0,0,0,0,0
3059940,1,0,0,0,0,0,0,0
3059942,1,0,0,0,0,0,0,0
3059938,1,0,0,0,0,0,0,0
3059916,1,0,0,0,0,0,0,0
3059924,1,0,0,0,0,0,0,0
2873951,0,1,0,0,0,0,0,0
2873952,0,1,0,0,0,0,0,0
2956303,0,0,0,0,0,0,0,1
2560644,0,1,0,0,0,0,0,0
3052810,0,1,0,0,0,0,0,0
2734404,0,0,1,0,0,0,0,0
3048261,1,0,0,0,0,0,0,0
2956349,0,0,1,0,0,0,0,0
694014,0,0,1,0,0,0,0,0
2569586,0,0,1,0,0,0,0,0
400570,0,0,1,0,0,0,0,0
1146876,0,0,1,0,0,0,0,0
2560612,0,1,0,0,0,0,0,0
3052400,0,1,0,0,0,0,0,0
3052421,0,1,0,0,0,0,0,0
2109374,0,0,0,0,0,0,0,1
2109373,0,0,0,0,0,0,0,1
1930304,0,1,0,0,0,0,0,0
1634476,0,1,0,0,0,0,0,0
2094713,0,0,1,0,0,0,0,0
3051984,1,0,0,0,0,0,0,0
3047745,1,0,0,0,0,0,0,0
272636,1,0,0,0,0,0,0,0
2734539,0,1,0,0,0,0,0,0
2844806,0,1,0,0,0,0,0,0
3052539,0,0,1,0,0,0,0,0
3051369,0,0,1,0,0,0,0,0
2099352,0,1,0,0,0,0,0,0
2364132,0,1,0,0,0,0,0,0
574549,0,0,1,0,0,0,0,0
1548721,0,0,1,0,0,0,0,0
1972581,0,0,1,0,0,0,0,0
1511772,0,1,0,0,0,0,0,0
1755590,0,1,0,0,0,0,0,0
190065,0,0,1,0,0,0,0,0
3047744,1,0,0,0,0,0,0,0
2170005,0,1,0,0,0,0,0,0
2170008,0,1,0,0,0,0,0,0
3051366,0,0,1,0,0,0,0,0
3051378,0,0,1,0,0,0,0,0
3051379,0,0,1,0,0,0,0,0
3051380,0,0,1,0,0,0,0,0
3051381,0,0,1,0,0,0,0,0
2169709,0,0,1,0,0,0,0,0
2955939,0,1,0,0,0,0,0,0
2169904,0,1,0,0,0,0,0,0
2844965,0,0,0,0,0,0,0,0
2844966,0,0,0,0,0,0,0,0
3052448,0,1,0,0,0,0,0,0
1548713,0,0,1,0,0,0,0,0
1884878,0,0,1,0,0,0,0,0
3051372,0,0,1,0,0,0,0,0
3051374,0,0,1,0,0,0,0,0
3051375,0,0,1,0,0,0,0,0
3051368,0,0,1,0,0,0,0,0
2170006,0,1,0,0,0,0,0,0
2059380,0,0,1,0,0,0,0,0
1964370,0,1,0,0,0,0,0,0
2006642,0,1,0,0,0,0,0,0
2018685,0,0,1,0,0,0,0,0
3051367,0,0,1,0,0,0,0,0
3047812,1,0,0,0,0,0,0,0
2170007,0,1,0,0,0,0,0,0
1972618,0,1,0,0,0,0,0,0
1349999,0,1,0,0,0,0,0,0
3050267,0,0,1,0,0,0,0,0
2170004,0,1,0,0,0,0,0,0
1923351,0,0,0,0,0,0,0,1
1938656,0,0,0,0,0,0,0,1
3048326,0,0,1,0,0,0,0,0
1923350,0,0,0,0,0,0,0,1
2560343,0,1,0,0,0,0,0,0
2844629,0,1,0,0,0,0,0,0
1930302,0,0,0,0,0,0,0,1
2169708,0,0,1,0,0,0,0,0
1548720,0,0,1,0,0,0,0,0
1548722,0,0,1,0,0,0,0,0
3051377,0,0,1,0,0,0,0,0
2005055,0,0,1,0,0,0,0,0
1843768,0,0,0,0,0,0,0,1
1843769,0,0,0,0,0,0,0,1
1843770,0,0,0,0,0,0,0,1
2844550,0,1,0,0,0,0,0,0
2844603,0,1,0,0,0,0,0,0
2844428,0,1,0,0,0,0,0,0
2844427,0,1,0,0,0,0,0,0
1766557,0,1,0,0,0,0,0,0
1766559,0,1,0,0,0,0,0,0
1755588,0,1,0,0,0,0,0,0
336486,0,0,1,0,0,0,0,0
2844429,0,1,0,0,0,0,0,0
2844799,0,1,0,0,0,0,0,0
1671382,0,1,0,0,0,0,0,0
3048458,1,0,0,0,0,0,0,0
2003391,0,1,0,0,0,0,0,0
3052463,1,0,0,0,0,0,0,0
1891750,0,1,0,0,0,0,0,0
2003673,0,0,1,0,0,0,0,0
2956351,0,0,1,0,0,0,0,0
2844644,0,1,0,0,0,0,0,0
