NCBI Taxon ID,budding,lysis,budding_na,lysis_na,other_release,other_release_na
3052419,1,0,0,0,0,0
38170,0,0,0,0,1,0
3052449,1,0,0,0,0,0
2843617,1,0,0,0,0,0
2843618,1,0,0,0,0,0
3052438,1,0,0,0,0,0
2956058,1,0,0,0,0,0
3060464,1,0,0,0,0,0
2748241,1,0,0,0,0,0
3052372,1,0,0,0,0,0
3060467,1,0,0,0,0,0
3052593,1,0,0,0,0,0
1940570,0,1,0,0,0,0
1530251,0,1,0,0,0,0
2734536,0,1,0,0,0,0
2734537,0,1,0,0,0,0
1983771,0,0,0,0,1,0
1932006,0,0,0,0,1,0
889389,0,1,0,0,0,0
2844787,0,1,0,0,0,0
2734577,0,1,0,0,0,0
3050286,1,0,0,0,0,0
3050288,1,0,0,0,0,0
3052106,0,1,0,0,0,0
2734535,0,1,0,0,0,0
3052108,0,1,0,0,0,0
2734519,0,1,0,0,0,0
2094282,1,0,0,0,0,0
3052107,0,1,0,0,0,0
1399967,0,1,0,0,0,0
2575832,0,1,0,0,0,0
2844807,0,1,0,0,0,0
2845977,0,1,0,0,0,0
2613793,1,0,0,0,0,0
2845976,0,1,0,0,0,0
2845026,1,0,0,0,0,0
3052109,0,1,0,0,0,0
3052110,0,1,0,0,0,0
3052112,0,1,0,0,0,0
2845875,0,0,0,0,1,0
2844632,0,0,0,0,1,0
2844630,0,0,0,0,1,0
2844572,0,0,0,0,1,0
2844628,0,0,0,0,1,0
2844570,0,0,0,0,1,0
2844631,0,0,0,0,1,0
2844571,0,0,0,0,1,0
2845885,0,0,0,0,1,0
2845887,0,0,0,0,1,0
2845889,0,0,0,0,1,0
2845890,0,0,0,0,1,0
2845886,0,0,0,0,1,0
2845888,0,0,0,0,1,0
2202565,0,0,0,0,1,0
2715094,0,0,0,0,1,0
1678143,0,0,0,0,1,0
2956231,1,0,0,0,0,0
2955388,0,0,0,0,0,1
2956213,0,1,0,0,0,0
2956485,1,0,0,0,0,0
2956483,1,0,0,0,0,0
2956478,1,0,0,0,0,0
2956482,1,0,0,0,0,0
2604840,1,0,0,0,0,0
2137544,0,1,0,0,0,0
3060048,1,0,0,0,0,0
2604334,0,1,0,0,0,0
1511894,0,1,0,0,0,0
3059860,0,1,0,0,0,0
3059857,0,1,0,0,0,0
3059858,0,1,0,0,0,0
3059859,0,1,0,0,0,0
3059872,0,1,0,0,0,0
3059861,0,1,0,0,0,0
3059862,0,1,0,0,0,0
1955137,1,0,0,0,0,0
3059946,0,1,0,0,0,0
3059936,0,1,0,0,0,0
3059940,0,1,0,0,0,0
3059942,0,1,0,0,0,0
3059938,0,1,0,0,0,0
3059916,0,1,0,0,0,0
3059924,0,1,0,0,0,0
2873951,0,1,0,0,0,0
2873952,0,1,0,0,0,0
2956303,0,0,0,0,0,1
2560644,0,1,0,0,0,0
3052810,1,0,0,0,0,0
2734404,1,0,0,0,0,0
3048261,0,1,0,0,0,0
2956349,1,0,0,0,0,0
694014,1,0,0,0,0,0
2569586,1,0,0,0,0,0
400570,0,1,0,0,0,0
1146876,0,1,0,0,0,0
2560612,0,1,0,0,0,0
3052400,1,0,0,0,0,0
3052421,1,0,0,0,0,0
2109374,0,0,0,0,0,1
2109373,0,0,0,0,0,1
1930304,1,0,0,0,0,0
1634476,0,1,0,0,0,0
2094713,0,0,0,0,1,0
3051984,0,1,0,0,0,0
3047745,0,1,0,0,0,0
272636,0,1,0,0,0,0
2734539,0,1,0,0,0,0
2844806,0,1,0,0,0,0
3052539,1,0,0,0,0,0
3051369,1,0,0,0,0,0
2099352,0,1,0,0,0,0
2364132,1,0,0,0,0,0
574549,1,0,0,0,0,0
1548721,1,0,0,0,0,0
1972581,1,0,0,0,0,0
1511772,0,1,0,0,0,0
1755590,0,1,0,0,0,0
190065,0,1,0,0,0,0
3047744,0,1,0,0,0,0
2170005,0,1,0,0,0,0
2170008,0,1,0,0,0,0
3051366,1,0,0,0,0,0
3051378,1,0,0,0,0,0
3051379,1,0,0,0,0,0
3051380,1,0,0,0,0,0
3051381,1,0,0,0,0,0
2169709,0,1,0,0,0,0
2955939,0,1,0,0,0,0
2169904,0,1,0,0,0,0
2844965,0,0,0,0,1,0
2844966,0,0,0,0,1,0
3052448,1,0,0,0,0,0
1548713,1,0,0,0,0,0
1884878,1,0,0,0,0,0
3051372,1,0,0,0,0,0
3051374,1,0,0,0,0,0
3051375,1,0,0,0,0,0
3051368,1,0,0,0,0,0
2170006,0,1,0,0,0,0
2059380,0,1,0,0,0,0
1964370,0,1,0,0,0,0
2006642,0,1,0,0,0,0
2018685,1,0,0,0,0,0
3051367,1,0,0,0,0,0
3047812,0,1,0,0,0,0
2170007,0,1,0,0,0,0
1972618,1,0,0,0,0,0
1349999,0,0,0,0,1,0
3050267,1,0,0,0,0,0
2170004,0,1,0,0,0,0
1923351,0,0,0,0,0,1
1938656,0,0,0,0,0,1
3048326,1,0,0,0,0,0
1923350,0,0,0,0,0,1
2560343,0,1,0,0,0,0
2844629,0,0,0,0,1,0
1930302,0,0,0,0,0,1
2169708,0,1,0,0,0,0
1548720,1,0,0,0,0,0
1548722,1,0,0,0,0,0
3051377,1,0,0,0,0,0
2005055,0,1,0,0,0,0
1843768,0,0,0,0,0,1
1843769,0,0,0,0,0,1
1843770,0,0,0,0,0,1
2844550,0,0,0,0,1,0
2844603,0,0,0,0,1,0
2844428,0,0,0,0,1,0
2844427,0,0,0,0,1,0
1766557,0,1,0,0,0,0
1766559,0,1,0,0,0,0
1755588,0,1,0,0,0,0
336486,0,1,0,0,0,0
2844429,0,0,0,0,1,0
2844799,0,1,0,0,0,0
1671382,0,0,0,0,1,0
3048458,0,1,0,0,0,0
2003391,0,1,0,0,0,0
3052463,1,0,0,0,0,0
1891750,0,1,0,0,0,0
2003673,0,1,0,0,0,0
2956351,1,0,0,0,0,0
2844644,0,0,0,0,1,0
2844555,0,0,0,0,1,0
2844561,0,0,0,0,1,0
2844562,0,0,0,0,1,0
2844476,0,0,0,0,1,0
2844445,0,0,0,0,1,0
2844446,0,0,0,0,1,0
2844447,0,0,0,0,1,0
2170052,0,1,0,0,0,0
3051383,1,0,0,0,0,0
2734408,1,0,0,0,0,0
3051365,1,0,0,0,0,0
3051373,1,0,0,0,0,0
2560309,1,0,0,0,0,0
3051371,1,0,0,0,0,0
3051376,1,0,0,0,0,0
3052594,1,0,0,0,0,0
1027468,1,0,0,0,0,0
3048350,0,1,0,0,0,0
1534544,0,1,0,0,0,0
1985982,0,1,0,0,0,0
1985983,0,1,0,0,0,0
1534547,0,1,0,0,0,0
1511776,0,1,0,0,0,0
1534553,0,1,0,0,0,0
40060,0,0,0,0,1,0
1548417,0,1,0,0,0,0
648998,0,1,0,0,0,0
10264,0,1,0,0,0,0
1922208,0,0,0,0,1,0
1493858,0,1,0,0,0,0
2169685,0,1,0,0,0,0
1481452,0,1,0,0,0,0
1921778,0,0,0,0,1,0
1282443,0,0,0,0,0,1
1282444,0,0,0,0,0,1
2845936,0,0,0,0,1,0
1330070,0,1,0,0,0,0
1891749,0,1,0,0,0,0
1962301,0,1,0,0,0,0
1962302,0,1,0,0,0,0
183405,1,0,0,0,0,0
183407,1,0,0,0,0,0
190062,0,1,0,0,0,0
1891752,0,1,0,0,0,0
1193420,0,1,0,0,0,0
1159907,1,0,0,0,0,0
1159906,1,0,0,0,0,0
1159903,1,0,0,0,0,0
1159904,1,0,0,0,0,0
1159908,1,0,0,0,0,0
1159902,1,0,0,0,0,0
1128118,1,0,0,0,0,0
886980,0,1,0,0,0,0
1089138,0,1,0,0,0,0
3048360,1,0,0,0,0,0
928289,0,1,0,0,0,0
691961,0,1,0,0,0,0
2844800,0,1,0,0,0,0
190063,0,1,0,0,0,0
11864,1,0,0,0,0,0
1146875,0,1,0,0,0,0
335100,1,0,0,0,0,0
1511803,0,1,0,0,0,0
1511781,0,1,0,0,0,0
3049524,1,0,0,0,0,0
11024,1,0,0,0,0,0
905828,0,0,0,0,1,0
572290,1,0,0,0,0,0
1297661,1,0,0,0,0,0
3047861,0,1,0,0,0,0
3047835,0,1,0,0,0,0
3048293,0,1,0,0,0,0
3048341,0,1,0,0,0,0
1891748,0,1,0,0,0,0
1891751,0,1,0,0,0,0
2955291,1,0,0,0,0,0
3047813,0,1,0,0,0,0
11636,1,0,0,0,0,0
1511895,0,1,0,0,0,0
93465,1,0,0,0,0,0
12639,1,0,0,0,0,0
3050344,1,0,0,0,0,0
197772,0,0,0,0,1,0
3047842,0,1,0,0,0,0
3047720,0,1,0,0,0,0
3050320,1,0,0,0,0,0
3050342,0,1,0,0,0,0
3050287,1,0,0,0,0,0
70793,0,0,0,0,1,0
3048151,1,0,0,0,0,0
3048447,1,0,0,0,0,0
3047743,0,1,0,0,0,0
3048158,1,0,0,0,0,0
2810457,0,0,0,0,1,0
3048448,1,0,0,0,0,0
190064,0,1,0,0,0,0
1985367 ,0,0,0,0,1,0
2766787,0,1,0,0,0,0
2844804,0,1,0,0,0,0
190061,0,1,0,0,0,0
548681,0,0,0,0,0,1
10535,0,1,0,0,0,0
3047384,1,0,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
1221219,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
142661,0,1,0,0,0,0
39725,0,1,0,0,0,0
349370,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
39725,0,1,0,0,0,0
36362,0,1,0,0,0,0
10261,0,1,0,0,0,0
130328,0,1,0,0,0,0
2671518,0,1,0,0,0,0
2217649,0,1,0,0,0,0
1301246,0,1,0,0,0,0
2671519,0,1,0,0,0,0
1897654,0,0,0,0,1,0
352474,0,0,0,0,1,0
11034,1,0,0,0,0,0
1891747,0,1,0,0,0,0
691956,0,1,0,0,0,0
3047561,0,1,0,0,0,0
3047385,1,0,0,0,0,0
1911231,1,0,0,0,0,0
3051983,0,1,0,0,0,0
3250174,0,1,0,0,0,0
2832629,1,0,0,0,0,0
1354736,0,1,0,0,0,0
28875,1,0,0,0,0,0
3242737,0,0,0,0,1,0
298333,0,1,0,0,0,0
1928336,0,1,0,0,0,0
1914440,0,0,0,0,1,0
70796,0,1,0,0,0,0
1354735,0,0,0,0,1,0
3048443,1,0,0,0,0,0
3080522,1,0,0,0,0,0
3233541,1,0,0,0,0,0
908207,1,0,0,0,0,0
1678144,0,0,0,0,1,0
2699166,0,1,0,0,0,0
28295,1,0,0,0,0,0
3163392,0,1,0,0,0,0
2809560,0,1,0,0,0,0
2569971,0,0,0,0,0,1
3138950,0,0,0,0,0,1
3138951,0,0,0,0,0,1
3042447,0,1,0,0,0,0
2963861,0,0,0,0,0,1
3138952,0,0,0,0,0,1
2874383,0,1,0,0,0,0
1964372,0,1,0,0,0,0
2748378,0,0,0,0,0,1
1608440,0,0,0,0,0,1
3138953,0,0,0,0,0,1
3049970,0,1,0,0,0,0
3049969,0,1,0,0,0,0
3155980,0,1,0,0,0,0
3155981,0,1,0,0,0,0
3155982,0,1,0,0,0,0
3153733,1,0,0,0,0,0
3153734,1,0,0,0,0,0
1649337,1,0,0,0,0,0
2910303,0,0,0,0,1,0
68887,0,1,0,0,0,0
3138814,0,1,0,0,0,0
3138815,0,1,0,0,0,0
3117183,0,1,0,0,0,0
3117122,0,1,0,0,0,0
3117181,0,1,0,0,0,0
3117180,0,1,0,0,0,0
3117225,0,1,0,0,0,0
3117115,0,1,0,0,0,0
3117116,0,1,0,0,0,0
3116695,0,0,0,0,0,1
3117070,0,1,0,0,0,0
3117217,0,1,0,0,0,0
3115873,0,1,0,0,0,0
3117216,0,1,0,0,0,0
3117185,0,1,0,0,0,0
3117261,0,1,0,0,0,0
3117098,0,1,0,0,0,0
3117270,0,1,0,0,0,0
3117034,0,1,0,0,0,0
3117208,0,1,0,0,0,0
3117119,0,1,0,0,0,0
3117160,0,1,0,0,0,0
3117078,0,1,0,0,0,0
3117230,0,1,0,0,0,0
3117121,0,1,0,0,0,0
3116987,0,0,0,0,1,0
3117282,0,1,0,0,0,0
3117226,0,1,0,0,0,0
3117037,0,1,0,0,0,0
3117117,0,1,0,0,0,0
3117099,0,1,0,0,0,0
3117064,0,1,0,0,0,0
3117178,0,1,0,0,0,0
3117100,0,1,0,0,0,0
3115994,0,1,0,0,0,0
3117179,0,1,0,0,0,0
3117080,0,1,0,0,0,0
