NCBI Taxon ID,cytoplasm,cytoplasm_na
2169685,1,0
2169685,0,0
2815018,0,0
2794564,0,0
2794463,0,0
272636,0,0
2558248,0,0
3115873,0,0
3115938,0,0
2815021,0,0
2794464,0,0
72149,1,0
1539747,1,0
2811222,0,0
2560765,1,0
2955291,0,0
2707192,0,0
2855326,0,0
3112618,0,0
104388,0,0
3080522,0,0
3233541,0,0
2734519,1,0
2734519,1,0
2809150,1,0
3115989,0,0
3115994,0,0
3115995,0,0
2815022,0,0
2794569,0,0
3113012,0,0
1934040,1,0
3153734,1,0
2860474,1,0
2184269,1,0
2761171,0,0
2761172,0,0
2761173,0,0
2761174,0,0
2761175,0,0
2761176,0,0
2761177,0,0
2761178,0,0
2761179,0,0
2761180,0,0
2761181,0,0
2761182,0,0
2761183,0,0
2761184,0,0
2761185,0,0
2761186,0,0
2761187,0,0
2761188,0,0
2761189,0,0
2761190,0,0
2761191,0,0
2761192,0,0
2761193,0,0
2761194,0,0
2761195,0,0
2761196,0,0
2761197,0,0
2761198,0,0
2761199,0,0
2761200,0,0
2761201,0,0
2761202,0,0
2761203,0,0
2761204,0,0
2761205,0,0
2761206,0,0
2761207,0,0
2761208,0,0
2761209,0,0
3049969,1,0
416277,0,0
416278,0,0
1634476,0,0
2928392,0,0
2794484,0,0
2794555,0,0
2794466,0,0
2794467,0,0
3129244,0,0
2707193,0,0
2794465,0,0
2489501,0,0
2585114,1,0
1166568,1,0
1671381,1,0
1671382,1,0
1566335,1,0
1586002,1,0
1752874,1,0
2671518,0,0
2592486,1,0
1239437,1,0
1239438,1,0
1239439,1,0
1176481,1,0
2809168,1,0
3051982,0,0
3051983,0,0
3051984,0,0
2715213,0,0
2707194,0,0
1652541,0,0
3250174,0,0
2955388,0,0
2217649,0,0
2364132,0,0
2936949,1,0
2936950,1,0
2936951,1,0
2936952,1,0
2936953,1,0
2936954,1,0
2996223,1,0
2936955,0,0
2996224,0,0
2936956,0,0
2936957,0,0
2936958,0,0
2936959,0,0
2936960,0,0
2996225,0,0
2996226,0,0
2996227,0,0
2936961,1,0
2936962,1,0
2936963,1,0
2936964,1,0
2996207,1,0
2996208,1,0
2996209,1,0
2996210,1,0
2996211,1,0
2996212,1,0
2996213,1,0
2936965,1,0
2996214,1,0
2996215,1,0
2996216,1,0
2996217,1,0
2996218,1,0
2996219,1,0
2996220,1,0
2996221,1,0
2936966,1,0
2936967,1,0
2936968,1,0
2936969,1,0
2936970,1,0
2936971,1,0
2936972,1,0
2936973,1,0
2936974,1,0
2936975,1,0
2936976,1,0
2936977,1,0
2936978,1,0
1914440,1,0
2936979,1,0
3242737,1,0
675389,0,0
2604334,0,0
