,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
0,Fowlpox virus,10261,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,288539.0,31.0,260.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,Pigeonpox virus,10264,4.0,35.0,16.0,1.0,0.0,1.0,0.0,,0.0,0.0,282356.0,29.5,271.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2,Hepatitis B virus,10407,2.0,16.0,82.0,1.0,1.0,1.0,0.0,,0.0,0.0,3248.0,48.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,Pigeon adenovirus,10535,23.0,0.0,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,Reovirus sp.,10891,21.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0
5,Rotavirus sp.,10970,21.0,39.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,Eastern equine encephalitis virus,11021,13.0,42.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11675.0,48.5,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7,Middelburg virus,11023,13.0,42.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11550.0,53.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
8,Highlands J virus,11024,13.0,42.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11526.0,49.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9,Ross River virus,11029,13.0,42.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11948.0,51.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10,Sindbis virus,11034,13.0,42.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11703.0,51.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
11,Venezuelan equine encephalitis virus,11036,13.0,42.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11447.0,50.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
12,Western equine encephalitis virus,11039,13.0,42.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11562.0,48.5,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
13,Lyssavirus rabies,11292,14.0,37.0,63.0,1.0,0.0,0.0,1.0,,0.0,1.0,11932.0,45.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,unidentified influenza virus,11309,1.0,24.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
