,Species,NCBI Taxon ID,Order,Family,Genus
0,Orthobunyavirus matruhense,3052419,Bunyavirales,Peribunyaviridae,Orthobunyavirus
1,Avian orthoreovirus,38170,Reovirales,Spinareoviridae,Orthoreovirus
2,Orthobunyavirus thimiriense,3052449,Bunyavirales,Peribunyaviridae,Orthobunyavirus
3,Orthonairovirus abuhammadense,2843617,Bunyavirales,Nairoviridae,Orthonairovirus
4,Orthonairovirus abuminaense,2843618,Bunyavirales,Nairoviridae,Orthonairovirus
5,Orthobunyavirus sedlecense,3052438,Bunyavirales,Peribunyaviridae,Orthobunyavirus
6,Khurdivirus volgaense,2956058,Bunyavirales,Peribunyaviridae,Khurdivirus
7,Orthobunyavirus balagoduense,3060464,Bunyavirales,Peribunyaviridae,Orthobunyavirus
8,Belem virus,2748241,Bunyavirales,Peribunyaviridae,
9,Orthobunyavirus batamaense,3052372,Bunyavirales,Peribunyaviridae,Orthobunyavirus
10,Orthobunyavirus bobayaense,3060467,Bunyavirales,Peribunyaviridae,Orthobunyavirus
11,Paraavulavirus hongkongense,3052593,Mononegavirales,Paramyxoviridae,Paraavulavirus
12,Parvoviridae sp.,1940570,Piccovirales,Parvoviridae,
13,Picornaviridae sp.,1530251,Picornavirales,Picornaviridae,
14,Grusopivirus A,2734536,Picornavirales,Picornaviridae,Grusopivirus
15,Grusopivirus B,2734537,Picornavirales,Picornaviridae,Grusopivirus
16,Gemycircularvirus sp.,1983771,Geplafuvirales,Genomoviridae,Gemycircularvirus
17,Chicken associated smacovirus,1932006,Cremevirales,Smacoviridae,Huchismacovirus
18,Calicivirus chicken/V0021/Bayern/2004,889389,Picornavirales,Caliciviridae,
19,Grusopivirus C,2844787,Picornavirales,Picornaviridae,Grusopivirus
20,Psittacine aviadenovirus C,2734577,Rowavirales,Adenoviridae,Aviadenovirus
21,Iltovirus gallidalpha1,3050286,Herpesvirales,Orthoherpesviridae,Iltovirus
22,Mardivirus gallidalpha3,3050288,Herpesvirales,Orthoherpesviridae,Mardivirus
23,Chaphamaparvovirus galliform1,3052106,Piccovirales,Parvoviridae,Chaphamaparvovirus
24,Gruhelivirus A,2734535,Picornavirales,Picornaviridae,Gruhelivirus
25,Chaphamaparvovirus galliform3,3052108,Piccovirales,Parvoviridae,Chaphamaparvovirus
26,Anativirus biphaco,2734519,Picornavirales,Picornaviridae,Anativirus
27,Avian paramyxovirus 17,2094282,Mononegavirales,Paramyxoviridae,
28,Chaphamaparvovirus galliform2,3052107,Piccovirales,Parvoviridae,Chaphamaparvovirus
29,Pigeon parvovirus A,1399967,Piccovirales,Parvoviridae,
30,Pingu picornavirus,2575832,Picornavirales,,
31,Gyrovirus myferr1,2844807,,Anelloviridae,Gyrovirus
32,Psittacine siadenovirus E,2845977,Rowavirales,Adenoviridae,Siadenovirus
33,Avian metaavulavirus 21,2613793,Mononegavirales,Paramyxoviridae,Metaavulavirus
34,Psittacine siadenovirus D,2845976,Rowavirales,Adenoviridae,Siadenovirus
35,Nyavirus sanjacintoense,2845026,Mononegavirales,Nyamiviridae,Nyavirus
36,Chaphamaparvovirus galliform4,3052109,Piccovirales,Parvoviridae,Chaphamaparvovirus
37,Chaphamaparvovirus galliform5,3052110,Piccovirales,Parvoviridae,Chaphamaparvovirus
38,Chaphamaparvovirus psittacine1,3052112,Piccovirales,Parvoviridae,Chaphamaparvovirus
39,Porprismacovirus avias1,2845875,Cremevirales,Smacoviridae,Porprismacovirus
40,Gemykrogvirus galga5,2844632,Geplafuvirales,Genomoviridae,Gemykrogvirus
41,Gemykrogvirus galga3,2844630,Geplafuvirales,Genomoviridae,Gemykrogvirus
42,Gemykibivirus galga3,2844572,Geplafuvirales,Genomoviridae,Gemykibivirus
43,Gemykrogvirus galga1,2844628,Geplafuvirales,Genomoviridae,Gemykrogvirus
44,Gemykibivirus galga1,2844570,Geplafuvirales,Genomoviridae,Gemykibivirus
45,Gemykrogvirus galga4,2844631,Geplafuvirales,Genomoviridae,Gemykrogvirus
46,Gemykibivirus galga2,2844571,Geplafuvirales,Genomoviridae,Gemykibivirus
47,Porprismacovirus chicas2,2845885,Cremevirales,Smacoviridae,Porprismacovirus
48,Porprismacovirus chicas4,2845887,Cremevirales,Smacoviridae,Porprismacovirus
49,Porprismacovirus chicas6,2845889,Cremevirales,Smacoviridae,Porprismacovirus
50,Porprismacovirus chicas7,2845890,Cremevirales,Smacoviridae,Porprismacovirus
51,Porprismacovirus chicas3,2845886,Cremevirales,Smacoviridae,Porprismacovirus
52,Porprismacovirus chicas5,2845888,Cremevirales,Smacoviridae,Porprismacovirus
53,Genomoviridae sp.,2202565,Geplafuvirales,Genomoviridae,
54,Smacoviridae sp.,2715094,Cremevirales,Smacoviridae,
55,Paslahepevirus balayani,1678143,Hepelivirales,Hepeviridae,Paslahepevirus
56,Nyavirus somateriae,2956231,Mononegavirales,Nyamiviridae,Nyavirus
57,Aviadenovirus leucophthalmi,2955388,,,
58,Nauglamirvirus anduin,2956213,Rivendellvirales,Naryaviridae,Nauglamirvirus
59,Sunrhavirus nasoule,2956485,Mononegavirales,Rhabdoviridae,Sunrhavirus
60,Sunrhavirus ouango,2956483,Mononegavirales,Rhabdoviridae,Sunrhavirus
61,Sunrhavirus alexandria,2956478,Mononegavirales,Rhabdoviridae,Sunrhavirus
62,Sunrhavirus matariya,2956482,Mononegavirales,Rhabdoviridae,Sunrhavirus
63,Cacatuid alphaherpesvirus 2,2604840,Herpesvirales,Orthoherpesviridae,
64,Pileated finch aveparvovirus,2137544,Piccovirales,Parvoviridae,Aveparvovirus
65,Iltovirus psittacidalpha5,3060048,Herpesvirales,Orthoherpesviridae,Iltovirus
66,Avian chapparvovirus,2604334,Piccovirales,Parvoviridae,Chapparvovirus
67,Dependoparvovirus avian1,1511894,Piccovirales,Parvoviridae,Dependoparvovirus
68,Chaphamaparvovirus anseriform4,3059860,Piccovirales,Parvoviridae,Chaphamaparvovirus
69,Chaphamaparvovirus anseriform1,3059857,Piccovirales,Parvoviridae,Chaphamaparvovirus
70,Chaphamaparvovirus anseriform2,3059858,Piccovirales,Parvoviridae,Chaphamaparvovirus
71,Chaphamaparvovirus anseriform3,3059859,Piccovirales,Parvoviridae,Chaphamaparvovirus
72,Chaphamaparvovirus strigiform1,3059872,Piccovirales,Parvoviridae,Chaphamaparvovirus
73,Chaphamaparvovirus anseriform5,3059861,Piccovirales,Parvoviridae,Chaphamaparvovirus
74,Chaphamaparvovirus anseriform6,3059862,Piccovirales,Parvoviridae,Chaphamaparvovirus
75,Rhabdoviridae sp.,1955137,Mononegavirales,Rhabdoviridae,
76,Cyclovirus totoi,3059946,Cirlivirales,Circoviridae,Cyclovirus
77,Cyclovirus pettirosso,3059936,Cirlivirales,Circoviridae,Cyclovirus
78,Cyclovirus punarinta,3059940,Cirlivirales,Circoviridae,Cyclovirus
79,Cyclovirus rudzik,3059942,Cirlivirales,Circoviridae,Cyclovirus
80,Cyclovirus prihor,3059938,Cirlivirales,Circoviridae,Cyclovirus
81,Cyclovirus cervienka,3059916,Cirlivirales,Circoviridae,Cyclovirus
82,Cyclovirus liepsnele,3059924,Cirlivirales,Circoviridae,Cyclovirus
83,WigFec circovirus 1,2873951,Cirlivirales,Circoviridae,
84,WigFec circovirus 2,2873952,Cirlivirales,Circoviridae,
85,Phapecoctavirus TSP7,2956303,,,Phapecoctavirus
86,Poecivirus A,2560644,Picornavirales,Picornaviridae,Poecivirus
87,Uukuvirus uriae,3052810,Bunyavirales,Phenuiviridae,Uukuvirus
88,Sunrhavirus garba,2734404,Mononegavirales,Rhabdoviridae,Sunrhavirus
89,Circovirus penguin,3048261,Cirlivirales,Circoviridae,Circovirus
90,Quaranjavirus chadense,2956349,Articulavirales,Orthomyxoviridae,Quaranjavirus
91,Avian coronavirus,694014,Nidovirales,Coronaviridae,Gammacoronavirus
92,Canada goose coronavirus,2569586,Nidovirales,Coronaviridae,Gammacoronavirus
93,Quailpox virus,400570,Chitovirales,Poxviridae,Avipoxvirus
94,Great tit siadenovirus A,1146876,Rowavirales,Adenoviridae,Siadenovirus
95,Nacovirus A,2560612,Picornavirales,Caliciviridae,Nacovirus
96,Orthobunyavirus ingwavumaense,3052400,Bunyavirales,Peribunyaviridae,Orthobunyavirus
97,Orthobunyavirus mermetense,3052421,Bunyavirales,Peribunyaviridae,Orthobunyavirus
98,Chicken stool associated circular virus 2,2109374,,,
99,Chicken stool associated circular virus 1,2109373,,,
100,Chicken picobirnavirus,1930304,Durnavirales,Picobirnaviridae,Picobirnavirus
101,Apteryx rowi circovirus-like virus,1634476,Cirlivirales,Circoviridae,
102,Serinus canaria papillomavirus 1,2094713,Zurhausenvirales,Papillomaviridae,Etapapillomavirus
103,Aveparvovirus gruiform1,3051984,Piccovirales,Parvoviridae,Aveparvovirus
104,Cyclovirus naahoohai,3047745,Cirlivirales,Circoviridae,Cyclovirus
105,Adeno-associated virus,272636,Piccovirales,Parvoviridae,Dependoparvovirus
106,Ludopivirus A,2734539,Picornavirales,Picornaviridae,Ludopivirus
107,Gyrovirus hydho1,2844806,,Anelloviridae,Gyrovirus
108,Orthonairovirus tunisense,3052539,Bunyavirales,Nairoviridae,Orthonairovirus
109,Metaavulavirus kazakhstanense,3051369,Mononegavirales,Paramyxoviridae,Metaavulavirus
110,Blackbird arilivirus,2099352,Picornavirales,,
111,Avian HDV-like agent,2364132,,Kolmioviridae,Deltavirus
112,Bulbul coronavirus HKU11,574549,Nidovirales,Coronaviridae,Deltacoronavirus
113,Orthobornavirus estrildidae,1548721,Mononegavirales,Bornaviridae,Orthobornavirus
114,Tupavirus durham,1972581,Mononegavirales,Rhabdoviridae,Tupavirus
115,Avisivirus A,1511772,Picornavirales,Picornaviridae,Avisivirus
116,Kunsagivirus A,1755590,Picornavirales,Picornaviridae,Kunsagivirus
117,Fowl aviadenovirus E,190065,Rowavirales,Adenoviridae,Aviadenovirus
118,Cyclovirus adie,3047744,Cirlivirales,Circoviridae,Cyclovirus
119,Megrivirus B,2170005,Picornavirales,Picornaviridae,Megrivirus
120,Megrivirus E,2170008,Picornavirales,Picornaviridae,Megrivirus
