Unnamed: 0,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
308,Fowlpox virus,10261,Chitovirales,Poxviridae,Avipoxvirus,1.0,0.0,1.0,0.0,,0.0,0.0,288539.0,31.0,260.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
210,Pigeonpox virus,10264,Chitovirales,Poxviridae,Avipoxvirus,1.0,0.0,1.0,0.0,,0.0,0.0,282356.0,29.5,271.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1371,Hepatitis B virus,10407,Blubervirales,Hepadnaviridae,Orthohepadnavirus,1.0,1.0,1.0,0.0,,0.0,0.0,3248.0,48.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
285,Pigeon adenovirus,10535,Rowavirales,Adenoviridae,Mastadenovirus,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1923,Reovirus sp.,10891,Reovirales,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,1.0,0.0,1.0,0.0,0.0
802,Rotavirus sp.,10970,Reovirales,Sedoreoviridae,Rotavirus,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
533,Eastern equine encephalitis virus,11021,Martellivirales,Togaviridae,Alphavirus,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11675.0,48.5,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1107,Middelburg virus,11023,Martellivirales,Togaviridae,Alphavirus,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11550.0,53.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
248,Highlands J virus,11024,Martellivirales,Togaviridae,Alphavirus,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11526.0,49.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1795,Ross River virus,11029,Martellivirales,Togaviridae,Alphavirus,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11948.0,51.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
316,Sindbis virus,11034,Martellivirales,Togaviridae,Alphavirus,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11703.0,51.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1431,Venezuelan equine encephalitis virus,11036,Martellivirales,Togaviridae,Alphavirus,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11447.0,50.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1474,Western equine encephalitis virus,11039,Martellivirales,Togaviridae,Alphavirus,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11562.0,48.5,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1538,Lyssavirus rabies,11292,Mononegavirales,Rhabdoviridae,Lyssavirus,1.0,0.0,0.0,1.0,,0.0,1.0,11932.0,45.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
486,unidentified influenza virus,11309,Articulavirales,Orthomyxoviridae,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
260,Reticuloendotheliosis virus,11636,Ortervirales,Retroviridae,Gammaretrovirus,1.0,0.0,0.0,1.0,0.0,1.0,0.0,8295.0,52.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
