Unnamed: 0,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
308,Fowlpox virus,10261,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,288539.0,31.0,260.0,False,True,False,True,False,False,True,False
210,Pigeonpox virus,10264,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,282356.0,29.5,271.0,False,True,False,True,False,False,True,False
1371,Hepatitis B virus,10407,Blubervirales,Hepadnaviridae,Orthohepadnavirus,True,True,True,False,True,False,False,3248.0,48.5,4.0,True,False,False,False,False,False,True,False
285,Pigeon adenovirus,10535,Rowavirales,Adenoviridae,Mastadenovirus,False,False,True,False,False,False,False,,,,False,True,False,False,False,False,True,False
1923,Reovirus sp.,10891,Reovirales,,,False,False,True,True,True,False,False,,,,True,True,True,True,False,True,False,False
802,Rotavirus sp.,10970,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,,,,True,False,False,True,False,False,True,False
533,Eastern equine encephalitis virus,11021,Martellivirales,Togaviridae,Alphavirus,True,False,False,True,False,True,False,11675.0,48.5,4.0,True,False,False,True,True,False,False,False
1107,Middelburg virus,11023,Martellivirales,Togaviridae,Alphavirus,True,False,False,True,False,True,False,11550.0,53.0,2.0,True,False,False,True,True,False,False,False
248,Highlands J virus,11024,Martellivirales,Togaviridae,Alphavirus,True,False,False,True,False,True,False,11526.0,49.0,3.0,True,False,False,True,True,False,False,False
1795,Ross River virus,11029,Martellivirales,Togaviridae,Alphavirus,True,False,False,True,False,True,False,11948.0,51.0,2.0,True,False,False,True,True,False,False,False
316,Sindbis virus,11034,Martellivirales,Togaviridae,Alphavirus,True,False,False,True,False,True,False,11703.0,51.0,4.0,True,False,False,True,True,False,False,False
1431,Venezuelan equine encephalitis virus,11036,Martellivirales,Togaviridae,Alphavirus,True,False,False,True,False,True,False,11447.0,50.0,6.0,True,False,False,True,True,False,False,False
1474,Western equine encephalitis virus,11039,Martellivirales,Togaviridae,Alphavirus,True,False,False,True,False,True,False,11562.0,48.5,2.0,True,False,False,True,True,False,False,False
1538,Lyssavirus rabies,11292,Mononegavirales,Rhabdoviridae,Lyssavirus,True,False,False,True,True,False,True,11932.0,45.0,5.0,True,False,False,False,False,False,True,False
486,unidentified influenza virus,11309,Articulavirales,Orthomyxoviridae,,True,False,False,True,True,False,True,,,,True,False,False,False,False,False,True,False
260,Reticuloendotheliosis virus,11636,Ortervirales,Retroviridae,Gammaretrovirus,True,False,False,True,False,True,False,8295.0,52.5,3.0,True,False,False,False,False,False,True,False
242,Avian leukosis virus,11864,Ortervirales,Retroviridae,Alpharetrovirus,True,False,False,True,False,True,False,7489.0,53.0,3.0,True,False,False,False,False,True,False,False
568,Rous sarcoma virus,11886,Ortervirales,Retroviridae,Alpharetrovirus,True,False,False,True,False,True,False,9392.0,54.0,4.0,True,False,False,False,False,True,False,False
1924,Avian endogenous virus,11945,Ortervirales,Retroviridae,Alpharetrovirus,True,False,False,True,False,True,False,,,,True,False,False,False,False,True,False,False
1565,Avian retrovirus,11955,Ortervirales,Retroviridae,Alpharetrovirus,True,False,False,True,False,True,False,,,,True,False,False,False,False,True,False,False
1926,Avian myeloblastosis-associated virus,11960,Ortervirales,Retroviridae,Alpharetrovirus,True,False,False,True,False,True,False,,,,True,False,False,False,False,True,False,False
438,Lymphoproliferative disease virus,11961,Ortervirales,Retroviridae,Alpharetrovirus,True,False,False,True,False,True,False,7432.0,53.5,,True,False,False,False,False,True,False,False
1354,Norwalk virus,11983,Picornavirales,Caliciviridae,Norovirus,False,False,False,True,False,True,False,,,,False,True,False,True,False,True,False,False
1087,Foot-and-mouth disease virus,12110,Picornavirales,Picornaviridae,Aphthovirus,False,False,False,True,True,True,False,,,,False,True,False,True,True,False,False,False
263,Duck hepatitis B virus,12639,Blubervirales,Hepadnaviridae,Avihepadnavirus,True,True,True,False,True,False,False,3024.0,43.0,5.0,True,False,False,True,False,False,True,False
339,Porcine epidemic diarrhea virus,28295,Nidovirales,Coronaviridae,Alphacoronavirus,True,False,False,True,False,True,False,28033.0,42.0,6.0,True,False,False,True,False,False,True,False
1918,Heron hepatitis B virus,28300,Blubervirales,Hepadnaviridae,Avihepadnavirus,True,True,True,False,True,False,False,3027.0,45.0,5.0,True,False,False,True,False,False,True,False
