Species,NCBI Taxon ID,Order,Family,Genus,cytoplasm
Aalivirus A,2169685,Picornavirales,Picornaviridae,Aalivirus,1
Aalivirus apekidu,2169685,Picornavirales,Picornaviridae,Aalivirus,0
Acanthis flammea CRESS-DNA-virus sp.,2815018,,,,2
Accipiter gentilis parvo-like hybrid virus,2794564,Piccovirales,Parvoviridae,,0
Accipiter gentilis parvoviridae sp.,2794463,Piccovirales,Parvoviridae,,0
Adeno-associated virus,272636,Piccovirales,Parvoviridae,Dependoparvovirus,0
Adenoviridae sp.,2558248,Rowavirales,Adenoviridae,,0
Adenovirus acanthiza15342,3115873,Rowavirales,Adenoviridae,,0
Adintovirus pavo15764,3115938,Orthopolintovirales,Adintoviridae,,0
Aegithalos caudatus CRESS-DNA-virus sp.,2815021,,,,2
Aegithalos caudatus parvoviridae sp.,2794464,Piccovirales,Parvoviridae,,0
Aichivirus A,72149,Picornavirales,Picornaviridae,Kobuvirus,1
Akhtuba virus,1539747,Bunyavirales,Peribunyaviridae,,1
Albatrosspox virus,2811222,Chitovirales,Poxviridae,,0
Alphachrysovirus shuangaoense,2560765,Ghabrivirales,Chrysoviridae,Alphachrysovirus,1
Alphainfluenzavirus influenzae,2955291,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,0
Amundsen virus,2707192,,,,2
Anas platyrhynchos papillomavirus 2,2855326,Zurhausenvirales,Papillomaviridae,,0
Anas platyrhynchos papillomavirus 3,3112618,Zurhausenvirales,Papillomaviridae,,0
Anatid alphaherpesvirus 1,104388,Herpesvirales,Orthoherpesviridae,Mardivirus,0
Anatid alphaherpesvirus 2,3080522,Herpesvirales,Orthoherpesviridae,,0
Anatid alphaherpesvirus 3,3233541,Herpesvirales,Orthoherpesviridae,,0
Anativirus B,2734519,Picornavirales,Picornaviridae,Anativirus,1
Anativirus biphaco,2734519,Picornavirales,Picornaviridae,Anativirus,1
Anativirus sp.,2809150,Picornavirales,Picornaviridae,Anativirus,1
Anellovirus gallus2670,3115989,,Anelloviridae,,0
Anellovirus meleagris2358,3115994,,Anelloviridae,,0
Anellovirus meleagris2399,3115995,,Anelloviridae,,0
Anser anser CRESS-DNA-virus sp.,2815022,,,,2
Anser anser dependoparvovirus,2794569,Piccovirales,Parvoviridae,Dependoparvovirus,0
Anser circovirus,3113012,Cirlivirales,Circoviridae,,0
Anser cygnoides coronavirus,1934040,Nidovirales,Coronaviridae,Deltacoronavirus,1
Anser fabalis coronavirus,3153734,Nidovirales,Coronaviridae,,1
Anser fabalis coronavirus NCN2,2860474,Nidovirales,Coronaviridae,Gammacoronavirus,1
Antarctic picorna-like virus,2184269,Picornavirales,,,1
Antarctic virus 1_II_CPGEORsw003Ad,2761171,,,,2
Antarctic virus 1_II_CPGEORsw003Ch,2761172,,,,2
Antarctic virus 1_I_CPGEORsw001Ad,2761173,,,,2
Antarctic virus 1_I_CPGEORsw002Ad,2761174,,,,2
Antarctic virus 2_I_GPYANKsw001Ad,2761175,,,,2
Antarctic virus 2_I_GPYANKsw001Ch,2761176,,,,2
Antarctic virus 2_I_GPYANKsw002Ad,2761177,,,,2
Antarctic virus 2_I_GPYANKsw003Ad,2761178,,,,2
Antarctic virus 2_I_GPYANKsw004Ad,2761179,,,,2
Antarctic virus 3_III_KPSTAsw010Ad,2761180,,,,2
Antarctic virus 3_III_KPSTAsw014Ch,2761181,,,,2
Antarctic virus 3_III_KPSTAsw016Ch,2761182,,,,2
Antarctic virus 3_III_KPSTAsw018Ch,2761183,,,,2
Antarctic virus 3_III_KPSTAsw019Ch,2761184,,,,2
Antarctic virus 3_II_CPHALFsw005Ad,2761185,,,,2
Antarctic virus 3_IV_KPSTAsw015Ch,2761186,,,,2
Antarctic virus 3_I_CPHALFsw004Ad,2761187,,,,2
Antarctic virus 3_V_CPHALFsw003Ad,2761188,,,,2
Antarctic virus 4_II_KPSTAsw004Ad,2761189,,,,2
Antarctic virus 4_II_KPSTAsw014Ch,2761190,,,,2
Antarctic virus 4_II_KPSTAsw015Ch,2761191,,,,2
Antarctic virus 4_II_KPSTAsw016Ch,2761192,,,,2
Antarctic virus 4_II_KPSTAsw017Ch,2761193,,,,2
Antarctic virus 4_II_KPSTAsw018Ch,2761194,,,,2
Antarctic virus 4_II_KPSTAsw019Ch,2761195,,,,2
Antarctic virus 4_I_KPSTAsw001Ad,2761196,,,,2
Antarctic virus 4_I_KPSTAsw002Ad,2761197,,,,2
Antarctic virus 4_I_KPSTAsw008Ad,2761198,,,,2
Antarctic virus 4_I_KPSTAsw009Ad,2761199,,,,2
Antarctic virus 4_I_KPSTAsw010Ad,2761200,,,,2
Antarctic virus 5_I_KPSTAsw001Ad,2761201,,,,2
Antarctic virus 5_I_KPSTAsw002Ad,2761202,,,,2
Antarctic virus 5_I_KPSTAsw004Ad,2761203,,,,2
Antarctic virus 5_I_KPSTAsw008Ad,2761204,,,,2
Antarctic virus 5_I_KPSTAsw009Ad,2761205,,,,2
Antarctic virus 5_I_KPSTAsw018Ch,2761206,,,,2
Antarctic virus 5_I_KPSTAsw020Ch,2761207,,,,2
Antarctic virus 6_I_APBOOTsw001Ad,2761208,,,,2
Antarctic virus 6_I_APBOOTsw001Ch,2761209,,,,2
Apapanepox virus,3049969,Chitovirales,Poxviridae,Avipoxvirus,1
Aplomado falcon AAV1,416277,Piccovirales,Parvoviridae,Dependoparvovirus,0
Aplomado falcon AAV2,416278,Piccovirales,Parvoviridae,Dependoparvovirus,0
Apteryx rowi circovirus-like virus,1634476,Cirlivirales,Circoviridae,,0
Aquila chrysaetos herpesvirus,2928392,Herpesvirales,,,0
Ara ararauna Chaphamaparvovirus,2794484,Piccovirales,Parvoviridae,Chaphamaparvovirus,0
Ara ararauna aveparvovirus,2794555,Piccovirales,Parvoviridae,Aveparvovirus,0
Ara ararauna parvoviridae sp.,2794466,Piccovirales,Parvoviridae,,0
Ara severa parvoviridae sp.,2794467,Piccovirales,Parvoviridae,,0
Ardenna gravis alphaherpesvirus,3129244,Herpesvirales,Orthoherpesviridae,,0
Artemyev virus,2707193,,,,2
Arundinax aedon parvoviridae sp.,2794465,Piccovirales,Parvoviridae,,0
Asio otus herpesvirus,2489501,Herpesvirales,,,0
Astroviridae sp.,2585114,Stellavirales,Astroviridae,,1
Astrovirus CDB-2012,1166568,Stellavirales,Astroviridae,,1
Astrovirus Er/BMTK529/HUN/2011,1671381,Stellavirales,Astroviridae,,1
Astrovirus Er/SZAL6/HUN/2011,1671382,Stellavirales,Astroviridae,,1
Astrovirus HK-2014,1566335,Stellavirales,Astroviridae,,1
Astrovirus Pygoscelis/DT/2012,1586002,Stellavirales,Astroviridae,,1
Astrovirus black-naped monarch/Cambodia/2010,1752874,Stellavirales,Astroviridae,,1
Atadenovirus sp.,2671518,Rowavirales,Adenoviridae,Atadenovirus,0
Australian shelduck avian sapelovirus,2592486,Picornavirales,Picornaviridae,Sapelovirus,1
