Pathogen Species,Species,GA,size,gc,genes,GA_missing,size_missing,gc_missing,genes_missing
Aalivirus A,Aalivirus A,,,,,1,1,1,1
Aalivirus apekidu,Aalivirus apekidu,GCF_000919155.1,8976.0,43.0,1.0,0,0,0,0
Acanthis flammea CRESS-DNA-virus sp.,Acanthis flammea CRESS-DNA-virus sp.,,,,,1,1,1,1
Accipiter gentilis parvo-like hybrid virus,Accipiter gentilis parvo-like hybrid virus,,,,,1,1,1,1
Accipiter gentilis parvoviridae sp.,Accipiter gentilis parvoviridae sp.,,,,,1,1,1,1
Adeno-associated virus,Adeno-associated virus,GCF_004129875.1,4857.0,51.0,2.0,0,0,0,0
Adenoviridae sp.,Adenoviridae sp.,,,,,1,1,1,1
Adenovirus acanthiza15342,Adenovirus acanthiza15342,,,,,1,1,1,1
Adintovirus pavo15764,Adintovirus pavo15764,,,,,1,1,1,1
Aegithalos caudatus CRESS-DNA-virus sp.,Aegithalos caudatus CRESS-DNA-virus sp.,,,,,1,1,1,1
Aegithalos caudatus parvoviridae sp.,Aegithalos caudatus parvoviridae sp.,,,,,1,1,1,1
Aichivirus A,Aichivirus A,,,,,1,1,1,1
Akhtuba virus,Akhtuba virus,,,,,1,1,1,1
Albatrosspox virus,Albatrosspox virus,GCA_023528145.1,351909.0,30.0,,0,0,0,1
Alphachrysovirus shuangaoense,Alphachrysovirus shuangaoense,,,,,1,1,1,1
Alphainfluenzavirus influenzae,Alphainfluenzavirus influenzae,GCF_000864105.1,13590.0,44.0,12.0,0,0,0,0
Amundsen virus,Amundsen virus,,,,,1,1,1,1
Anas platyrhynchos papillomavirus 2,Anas platyrhynchos papillomavirus 2,GCA_031259165.1,8350.0,48.5,6.0,0,0,0,0
Anas platyrhynchos papillomavirus 3,Anas platyrhynchos papillomavirus 3,,,,,1,1,1,1
Anatid alphaherpesvirus 1,Anatid alphaherpesvirus 1,,,,,1,1,1,1
Anatid alphaherpesvirus 2,Anatid alphaherpesvirus 2,,,,,1,1,1,1
Anatid alphaherpesvirus 3,Anatid alphaherpesvirus 3,,,,,1,1,1,1
Anativirus B,Anativirus B,,,,,1,1,1,1
Anativirus biphaco,Anativirus biphaco,GCF_013087335.1,8204.0,40.5,1.0,0,0,0,0
Anativirus sp.,Anativirus sp.,,,,,1,1,1,1
Anellovirus gallus2670,Anellovirus gallus2670,,,,,1,1,1,1
Anellovirus meleagris2358,Anellovirus meleagris2358,,,,,1,1,1,1
Anellovirus meleagris2399,Anellovirus meleagris2399,,,,,1,1,1,1
Anser anser CRESS-DNA-virus sp.,Anser anser CRESS-DNA-virus sp.,,,,,1,1,1,1
Anser anser dependoparvovirus,Anser anser dependoparvovirus,,,,,1,1,1,1
Anser circovirus,Anser circovirus,,,,,1,1,1,1
Anser cygnoides coronavirus,Anser cygnoides coronavirus,,,,,1,1,1,1
Anser fabalis coronavirus,Anser fabalis coronavirus,,,,,1,1,1,1
Anser fabalis coronavirus NCN2,Anser fabalis coronavirus NCN2,GCA_031259465.1,28466.0,38.5,,0,0,0,1
Antarctic picorna-like virus,Antarctic picorna-like virus,,,,,1,1,1,1
Antarctic virus 1_II_CPGEORsw003Ad,Antarctic virus 1_II_CPGEORsw003Ad,GCA_031220185.1,2322.0,53.5,,0,0,0,1
Antarctic virus 1_II_CPGEORsw003Ch,Antarctic virus 1_II_CPGEORsw003Ch,GCA_031220215.1,2322.0,53.5,,0,0,0,1
Antarctic virus 1_I_CPGEORsw001Ad,Antarctic virus 1_I_CPGEORsw001Ad,GCA_031222645.1,2323.0,53.0,,0,0,0,1
Antarctic virus 1_I_CPGEORsw002Ad,Antarctic virus 1_I_CPGEORsw002Ad,GCA_031222685.1,2323.0,53.0,,0,0,0,1
Antarctic virus 2_I_GPYANKsw001Ad,Antarctic virus 2_I_GPYANKsw001Ad,GCA_031222755.1,1944.0,48.0,,0,0,0,1
Antarctic virus 2_I_GPYANKsw001Ch,Antarctic virus 2_I_GPYANKsw001Ch,GCA_031222775.1,1944.0,48.0,,0,0,0,1
Antarctic virus 2_I_GPYANKsw002Ad,Antarctic virus 2_I_GPYANKsw002Ad,GCA_031222785.1,1944.0,48.0,,0,0,0,1
Antarctic virus 2_I_GPYANKsw003Ad,Antarctic virus 2_I_GPYANKsw003Ad,GCA_031222815.1,1944.0,48.0,,0,0,0,1
Antarctic virus 2_I_GPYANKsw004Ad,Antarctic virus 2_I_GPYANKsw004Ad,GCA_031222865.1,1944.0,48.0,,0,0,0,1
Antarctic virus 3_III_KPSTAsw010Ad,Antarctic virus 3_III_KPSTAsw010Ad,GCA_031222875.1,2713.0,50.5,,0,0,0,1
Antarctic virus 3_III_KPSTAsw014Ch,Antarctic virus 3_III_KPSTAsw014Ch,GCA_031222925.1,2712.0,50.5,,0,0,0,1
