pathogenid,ncbi.name,rna,rt,double_stranded,negative_sense,positive_sense,enveloped,circular,segmented,cytoplasm,size_KB,GC,max_bread,max_bread_nh,direct,direct_sexual,direct_vertical,indirect,fecal_oral,ingestion,inhalation,environment,vector,release_budding,release_lysis,release_other,CE_clathrin,CE_receptor,ce_glycoprotiens,ce_other,samplingEffort
1195280,miniopterus schreibersii astrovirus 1,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195281,miniopterus schreibersii astrovirus 10,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195282,miniopterus schreibersii astrovirus 11,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195283,miniopterus schreibersii astrovirus 12,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195284,miniopterus schreibersii astrovirus 13,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195285,miniopterus schreibersii astrovirus 2,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195286,miniopterus schreibersii astrovirus 3,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195287,miniopterus schreibersii astrovirus 4,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195288,miniopterus schreibersii astrovirus 5,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195289,miniopterus schreibersii astrovirus 6,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195290,miniopterus schreibersii astrovirus 7,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195291,miniopterus schreibersii astrovirus 8,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195292,miniopterus schreibersii astrovirus 9,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195368,myotis ricketti astrovirus 1,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195369,rhinolophus sinicus astrovirus 1,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1195375,tylonycteris robustula astrovirus 1,True,False,False,False,True,False,False,False,True,6.001923077,48.4015,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1204570,otarine adenovirus 2,False,False,True,False,False,False,False,False,False,31.79484856,51.2016,0.0,0.0,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,1
1239572,mamastrovirus 8,True,False,False,False,True,False,False,False,True,6.534,43.5,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,178
1239578,mamastrovirus 14,True,False,False,False,True,False,False,False,True,3.371,45.2,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,60
1239580,mamastrovirus 16,True,False,False,False,True,False,False,False,True,3.18,44.8,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,51
1239582,mamastrovirus 18,True,False,False,False,True,False,False,False,True,5.083,43.6,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,46
1245560,wuharv calicivirus 1,True,False,False,False,True,False,False,False,True,7.632577778,51.1,0.0,0.0,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,2
1455626,human cyclovirus,False,False,False,False,True,False,True,False,False,1.8111,44.433,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,30
1455627,tadarida brasiliensis cyclovirus,False,False,False,False,True,False,True,False,False,1.8111,44.433,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1
1455628,sus scrofa cyclovirus,False,False,False,False,True,False,True,False,False,1.8111,44.433,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,2
1455631,capra hircus cyclovirus,False,False,False,False,True,False,True,False,False,1.8111,44.433,0.0,0.0,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,2
1606765,bovine rhinovirus 1,True,False,False,False,True,False,False,False,True,7.253,50.1,0.0,0.0,True,False,False,True,False,True,True,True,False,False,True,False,True,False,False,False,2
1743398,hare calicivirus,True,False,False,False,True,False,False,False,True,7.4395,49.75,0.0,0.0,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,13
1861840,feline anellovirus,False,False,False,False,True,False,True,False,False,2.734,45.48115,0.0,0.0,False,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False,2
1868218,bat associated circovirus 1,False,False,False,False,True,False,True,False,False,1.862,46.2,0.0,0.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,3
1868219,bat associated circovirus 2,False,False,False,False,True,False,True,False,False,1.798,47.3,0.0,0.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,4
1868220,bat associated circovirus 3,False,False,False,False,True,False,True,False,False,1.76,46.1,0.0,0.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,5
1868221,porcine circovirus 3,False,False,False,False,True,False,True,False,False,2.0,50.3,0.0,0.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,878
1914442,rodent astrovirus,True,False,False,False,True,False,False,False,True,6.861,50.7,87.4,87.4,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,66
1916691,cercopithecus campbelli adenovirus,False,False,True,False,False,False,False,False,False,35.28473333,53.1664,0.0,0.0,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,3
1916692,cercopithecus diana adenovirus,False,False,True,False,False,False,False,False,False,35.28473333,53.1664,0.0,0.0,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,2
1916693,chlorocebus sabaeus adenovirus,False,False,True,False,False,False,False,False,False,35.28473333,53.1664,0.0,0.0,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,422
1916694,colobus guereza adenovirus,False,False,True,False,False,False,False,False,False,35.28473333,53.1664,0.0,0.0,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,2
1916695,erythrocebus patas adenovirus,False,False,True,False,False,False,False,False,False,35.28473333,53.1664,0.0,0.0,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,2
1916696,gorilla gorilla adenovirus,False,False,True,False,False,False,False,False,False,35.28473333,53.1664,0.0,0.0,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,3
1916697,lophocebus aterrimus adenovirus,False,False,True,False,False,False,False,False,False,35.28473333,53.1664,0.0,0.0,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,1
1916698,mandrillus sphinx adenovirus,False,False,True,False,False,False,False,False,False,35.28473333,53.1664,0.0,0.0,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,1
1916699,pan troglodytes adenovirus,False,False,True,False,False,False,False,False,False,35.28473333,53.1664,0.0,0.0,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,183
1916700,papio hamadryas adenovirus,False,False,True,False,False,False,False,False,False,35.28473333,53.1664,0.0,0.0,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,False,3
1958807,harbour porpoise adenovirus 1,False,False,True,False,False,False,False,False,False,22.836,41.0,0.0,0.0,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,2
1959759,chimpanzee associated circovirus 1,False,False,False,False,True,False,True,False,False,1.935,53.0,0.0,0.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,5
1959761,human associated circovirus 1,False,False,False,False,True,False,True,False,False,1.699,43.4,0.0,0.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,4
1959842,molossus molossus circovirus 1,False,False,False,False,True,False,True,False,False,1.587,45.1,0.0,0.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,2
1959843,molossus molossus circovirus 2,False,False,False,False,True,False,True,False,False,3.156,36.0,0.0,0.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,2
1959844,molossus molossus circovirus 3,False,False,False,False,True,False,True,False,False,2.055,41.7,0.0,0.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,2
1959845,molossus molossus circovirus 4,False,False,False,False,True,False,True,False,False,1.805,36.1,0.0,0.0,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,2
1959930,bat sapovirus,True,False,False,False,True,False,False,False,True,7.475,47.0,0.0,0.0,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,13
