Pathogen Species,GA,species,GA,size,gc,genes
Aalivirus A,,Aalivirus A,,,,
Aalivirus apekidu,GCF_000919155.1,Aalivirus apekidu,GCF_000919155.1,8976.0,43,1
Acanthis flammea CRESS-DNA-virus sp.,,Acanthis flammea CRESS-DNA-virus sp.,,,,
Accipiter gentilis parvo-like hybrid virus,,Accipiter gentilis parvo-like hybrid virus,,,,
Accipiter gentilis parvoviridae sp.,,Accipiter gentilis parvoviridae sp.,,,,
Adeno-associated virus,GCF_004129875.1,Adeno-associated virus,GCF_004129875.1,4857.0,51,2
Adenoviridae sp.,,Adenoviridae sp.,,,,
Adenovirus acanthiza15342,,Adenovirus acanthiza15342,,,,
Adintovirus pavo15764,,Adintovirus pavo15764,,,,
Aegithalos caudatus CRESS-DNA-virus sp.,,Aegithalos caudatus CRESS-DNA-virus sp.,,,,
Aegithalos caudatus parvoviridae sp.,,Aegithalos caudatus parvoviridae sp.,,,,
Aichivirus A,0,Aichivirus A,,,,
Akhtuba virus,0,Akhtuba virus,,,,
Albatrosspox virus,,Albatrosspox virus,GCA_023528145.1,351909.0,30,
Alphachrysovirus shuangaoense,0,Alphachrysovirus shuangaoense,,,,
Alphainfluenzavirus influenzae,GCF_000864105.1,Alphainfluenzavirus influenzae,GCF_000864105.1,13590.0,44,12
Amundsen virus,0,Amundsen virus,,,,
Anas platyrhynchos papillomavirus 2,,Anas platyrhynchos papillomavirus 2,GCA_031259165.1,8350.0,48.5,6
Anas platyrhynchos papillomavirus 3,,Anas platyrhynchos papillomavirus 3,,,,
Anatid alphaherpesvirus 1,,Anatid alphaherpesvirus 1,,,,
Anatid alphaherpesvirus 2,,Anatid alphaherpesvirus 2,,,,
Anatid alphaherpesvirus 3,,Anatid alphaherpesvirus 3,,,,
Anativirus B,0,Anativirus B,,,,
Anativirus biphaco,GCF_013087335.1,Anativirus biphaco,GCF_013087335.1,8204.0,40.5,1
Anativirus sp.,,Anativirus sp.,,,,
Anellovirus gallus2670,,Anellovirus gallus2670,,,,
Anellovirus meleagris2358,,Anellovirus meleagris2358,,,,
Anellovirus meleagris2399,,Anellovirus meleagris2399,,,,
Anser anser CRESS-DNA-virus sp.,,Anser anser CRESS-DNA-virus sp.,,,,
Anser anser dependoparvovirus,,Anser anser dependoparvovirus,,,,
Anser circovirus,,Anser circovirus,,,,
Anser cygnoides coronavirus,0,Anser cygnoides coronavirus,,,,
Anser fabalis coronavirus,,Anser fabalis coronavirus,,,,
Anser fabalis coronavirus NCN2,,Anser fabalis coronavirus NCN2,GCA_031259465.1,28466.0,38.5,
Antarctic picorna-like virus,0,Antarctic picorna-like virus,,,,
Antarctic virus 1_II_CPGEORsw003Ad,,Antarctic virus 1_II_CPGEORsw003Ad,GCA_031220185.1,2322.0,53.5,
Antarctic virus 1_II_CPGEORsw003Ch,,Antarctic virus 1_II_CPGEORsw003Ch,GCA_031220215.1,2322.0,53.5,
Antarctic virus 1_I_CPGEORsw001Ad,,Antarctic virus 1_I_CPGEORsw001Ad,GCA_031222645.1,2323.0,53,
Antarctic virus 1_I_CPGEORsw002Ad,,Antarctic virus 1_I_CPGEORsw002Ad,GCA_031222685.1,2323.0,53,
Antarctic virus 2_I_GPYANKsw001Ad,,Antarctic virus 2_I_GPYANKsw001Ad,GCA_031222755.1,1944.0,48,
Antarctic virus 2_I_GPYANKsw001Ch,,Antarctic virus 2_I_GPYANKsw001Ch,GCA_031222775.1,1944.0,48,
Antarctic virus 2_I_GPYANKsw002Ad,,Antarctic virus 2_I_GPYANKsw002Ad,GCA_031222785.1,1944.0,48,
Antarctic virus 2_I_GPYANKsw003Ad,,Antarctic virus 2_I_GPYANKsw003Ad,GCA_031222815.1,1944.0,48,
Antarctic virus 2_I_GPYANKsw004Ad,,Antarctic virus 2_I_GPYANKsw004Ad,GCA_031222865.1,1944.0,48,
Antarctic virus 3_III_KPSTAsw010Ad,,Antarctic virus 3_III_KPSTAsw010Ad,GCA_031222875.1,2713.0,50.5,
Antarctic virus 3_III_KPSTAsw014Ch,,Antarctic virus 3_III_KPSTAsw014Ch,GCA_031222925.1,2712.0,50.5,
Antarctic virus 3_III_KPSTAsw016Ch,,Antarctic virus 3_III_KPSTAsw016Ch,GCA_031222945.1,2712.0,50.5,
Antarctic virus 3_III_KPSTAsw018Ch,,Antarctic virus 3_III_KPSTAsw018Ch,GCA_031223005.1,2713.0,50.5,
Antarctic virus 3_III_KPSTAsw019Ch,,Antarctic virus 3_III_KPSTAsw019Ch,GCA_031223025.1,2712.0,50.5,
Antarctic virus 3_II_CPHALFsw005Ad,,Antarctic virus 3_II_CPHALFsw005Ad,GCA_031223085.1,2705.0,49.5,
Antarctic virus 3_IV_KPSTAsw015Ch,,Antarctic virus 3_IV_KPSTAsw015Ch,GCA_031223095.1,2709.0,50.5,
Antarctic virus 3_I_CPHALFsw004Ad,,Antarctic virus 3_I_CPHALFsw004Ad,GCA_031223155.1,2720.0,50,
Antarctic virus 3_V_CPHALFsw003Ad,,Antarctic virus 3_V_CPHALFsw003Ad,GCA_031223215.1,2689.0,50,
Antarctic virus 4_II_KPSTAsw004Ad,,Antarctic virus 4_II_KPSTAsw004Ad,GCA_031223245.1,2728.0,50.5,
Antarctic virus 4_II_KPSTAsw014Ch,,Antarctic virus 4_II_KPSTAsw014Ch,GCA_031223275.1,2728.0,50.5,
Antarctic virus 4_II_KPSTAsw015Ch,,Antarctic virus 4_II_KPSTAsw015Ch,GCA_031223325.1,2728.0,50.5,
Antarctic virus 4_II_KPSTAsw016Ch,,Antarctic virus 4_II_KPSTAsw016Ch,GCA_031223345.1,2727.0,50.5,
Antarctic virus 4_II_KPSTAsw017Ch,,Antarctic virus 4_II_KPSTAsw017Ch,GCA_031223385.1,2728.0,50.5,
Antarctic virus 4_II_KPSTAsw018Ch,,Antarctic virus 4_II_KPSTAsw018Ch,GCA_031223425.1,2729.0,50.5,
Antarctic virus 4_II_KPSTAsw019Ch,,Antarctic virus 4_II_KPSTAsw019Ch,GCA_031223465.1,2729.0,50.5,
Antarctic virus 4_I_KPSTAsw001Ad,,Antarctic virus 4_I_KPSTAsw001Ad,GCA_031223515.1,2721.0,51.5,
Antarctic virus 4_I_KPSTAsw002Ad,,Antarctic virus 4_I_KPSTAsw002Ad,GCA_031223535.1,2721.0,51.5,
Antarctic virus 4_I_KPSTAsw008Ad,,Antarctic virus 4_I_KPSTAsw008Ad,GCA_031223575.1,2721.0,51.5,
Antarctic virus 4_I_KPSTAsw009Ad,,Antarctic virus 4_I_KPSTAsw009Ad,GCA_031223625.1,2721.0,51.5,
Antarctic virus 4_I_KPSTAsw010Ad,,Antarctic virus 4_I_KPSTAsw010Ad,GCA_031223635.1,2721.0,51.5,
Antarctic virus 5_I_KPSTAsw001Ad,,Antarctic virus 5_I_KPSTAsw001Ad,GCA_031223695.1,2719.0,49.5,
Antarctic virus 5_I_KPSTAsw002Ad,,Antarctic virus 5_I_KPSTAsw002Ad,GCA_031223715.1,2719.0,49.5,
Antarctic virus 5_I_KPSTAsw004Ad,,Antarctic virus 5_I_KPSTAsw004Ad,,,,
