,Species,GA_original,species,GA,size,gc,genes
0,Aalivirus A,,Aalivirus A,,,,
1,Aalivirus apekidu,GCF_000919155.1,Aalivirus apekidu,GCF_000919155.1,8976.0,43.0,1.0
2,Acanthis flammea CRESS-DNA-virus sp.,,Acanthis flammea CRESS-DNA-virus sp.,,,,
3,Accipiter gentilis parvo-like hybrid virus,,Accipiter gentilis parvo-like hybrid virus,,,,
4,Accipiter gentilis parvoviridae sp.,,Accipiter gentilis parvoviridae sp.,,,,
5,Adeno-associated virus,GCF_004129875.1,Adeno-associated virus,GCF_004129875.1,4857.0,51.0,2.0
6,Adenoviridae sp.,,Adenoviridae sp.,,,,
7,Adenovirus acanthiza15342,,Adenovirus acanthiza15342,,,,
8,Adintovirus pavo15764,,Adintovirus pavo15764,,,,
9,Aegithalos caudatus CRESS-DNA-virus sp.,,Aegithalos caudatus CRESS-DNA-virus sp.,,,,
10,Aegithalos caudatus parvoviridae sp.,,Aegithalos caudatus parvoviridae sp.,,,,
11,Aichivirus A,0,Aichivirus A,,,,
12,Akhtuba virus,0,Akhtuba virus,,,,
13,Albatrosspox virus,,Albatrosspox virus,GCA_023528145.1,351909.0,30.0,
14,Alphachrysovirus shuangaoense,0,Alphachrysovirus shuangaoense,,,,
15,Alphainfluenzavirus influenzae,GCF_000864105.1,Alphainfluenzavirus influenzae,GCF_000864105.1,13590.0,44.0,12.0
16,Amundsen virus,0,Amundsen virus,,,,
17,Anas platyrhynchos papillomavirus 2,,Anas platyrhynchos papillomavirus 2,GCA_031259165.1,8350.0,48.5,6.0
18,Anas platyrhynchos papillomavirus 3,,Anas platyrhynchos papillomavirus 3,,,,
19,Anatid alphaherpesvirus 1,,Anatid alphaherpesvirus 1,,,,
20,Anatid alphaherpesvirus 2,,Anatid alphaherpesvirus 2,,,,
21,Anatid alphaherpesvirus 3,,Anatid alphaherpesvirus 3,,,,
22,Anativirus B,0,Anativirus B,,,,
23,Anativirus biphaco,GCF_013087335.1,Anativirus biphaco,GCF_013087335.1,8204.0,40.5,1.0
24,Anativirus sp.,,Anativirus sp.,,,,
25,Anellovirus gallus2670,,Anellovirus gallus2670,,,,
26,Anellovirus meleagris2358,,Anellovirus meleagris2358,,,,
27,Anellovirus meleagris2399,,Anellovirus meleagris2399,,,,
28,Anser anser CRESS-DNA-virus sp.,,Anser anser CRESS-DNA-virus sp.,,,,
29,Anser anser dependoparvovirus,,Anser anser dependoparvovirus,,,,
30,Anser circovirus,,Anser circovirus,,,,
31,Anser cygnoides coronavirus,0,Anser cygnoides coronavirus,,,,
32,Anser fabalis coronavirus,,Anser fabalis coronavirus,,,,
33,Anser fabalis coronavirus NCN2,,Anser fabalis coronavirus NCN2,GCA_031259465.1,28466.0,38.5,
34,Antarctic picorna-like virus,0,Antarctic picorna-like virus,,,,
35,Antarctic virus 1_II_CPGEORsw003Ad,,Antarctic virus 1_II_CPGEORsw003Ad,GCA_031220185.1,2322.0,53.5,
36,Antarctic virus 1_II_CPGEORsw003Ch,,Antarctic virus 1_II_CPGEORsw003Ch,GCA_031220215.1,2322.0,53.5,
37,Antarctic virus 1_I_CPGEORsw001Ad,,Antarctic virus 1_I_CPGEORsw001Ad,GCA_031222645.1,2323.0,53.0,
38,Antarctic virus 1_I_CPGEORsw002Ad,,Antarctic virus 1_I_CPGEORsw002Ad,GCA_031222685.1,2323.0,53.0,
39,Antarctic virus 2_I_GPYANKsw001Ad,,Antarctic virus 2_I_GPYANKsw001Ad,GCA_031222755.1,1944.0,48.0,
40,Antarctic virus 2_I_GPYANKsw001Ch,,Antarctic virus 2_I_GPYANKsw001Ch,GCA_031222775.1,1944.0,48.0,
41,Antarctic virus 2_I_GPYANKsw002Ad,,Antarctic virus 2_I_GPYANKsw002Ad,GCA_031222785.1,1944.0,48.0,
42,Antarctic virus 2_I_GPYANKsw003Ad,,Antarctic virus 2_I_GPYANKsw003Ad,GCA_031222815.1,1944.0,48.0,
43,Antarctic virus 2_I_GPYANKsw004Ad,,Antarctic virus 2_I_GPYANKsw004Ad,GCA_031222865.1,1944.0,48.0,
44,Antarctic virus 3_III_KPSTAsw010Ad,,Antarctic virus 3_III_KPSTAsw010Ad,GCA_031222875.1,2713.0,50.5,
45,Antarctic virus 3_III_KPSTAsw014Ch,,Antarctic virus 3_III_KPSTAsw014Ch,GCA_031222925.1,2712.0,50.5,
46,Antarctic virus 3_III_KPSTAsw016Ch,,Antarctic virus 3_III_KPSTAsw016Ch,GCA_031222945.1,2712.0,50.5,
